ACTION QUERY 10000 10 hydrogen energy
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1843716'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1843716'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1843716'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'1742839'
ACTION SNIPPET 10000 47 SNIPPET_NOT_RELEVANT b'758337'
ACTION SNIPPET 10000 50 SNIPPET_RELEVANT b'1556630'
ACTION DOC 10000 70 EXAMINING_DOCUMENT b'1556630'
ACTION MARK 10000 73 CONSIDERED_RELEVANT b'1556630'
ACTION SNIPPET 10000 76 SNIPPET_RELEVANT b'1534757'
ACTION DOC 10000 96 EXAMINING_DOCUMENT b'1534757'
ACTION MARK 10000 99 CONSIDERED_RELEVANT b'1534757'
ACTION SNIPPET 10000 102 SNIPPET_RELEVANT b'1507525'
ACTION DOC 10000 122 EXAMINING_DOCUMENT b'1507525'
ACTION MARK 10000 125 CONSIDERED_RELEVANT b'1507525'
ACTION SNIPPET 10000 128 SNIPPET_RELEVANT b'755544'
ACTION DOC 10000 148 EXAMINING_DOCUMENT b'755544'
ACTION MARK 10000 151 CONSIDERED_RELEVANT b'755544'
ACTION SNIPPET 10000 154 SNIPPET_NOT_RELEVANT b'1497519'
ACTION SNIPPET 10000 157 SNIPPET_RELEVANT b'1843730'
ACTION DOC 10000 177 EXAMINING_DOCUMENT b'1843730'
ACTION MARK 10000 180 CONSIDERED_RELEVANT b'1843730'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'1630634'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'1630634'
ACTION MARK 10000 206 CONSIDERED_RELEVANT b'1630634'
ACTION SNIPPET 10000 209 SNIPPET_RELEVANT b'1461542'
ACTION DOC 10000 229 EXAMINING_DOCUMENT b'1461542'
ACTION MARK 10000 232 CONSIDERED_RELEVANT b'1461542'
ACTION SNIPPET 10000 235 SNIPPET_RELEVANT b'1470357'
ACTION DOC 10000 255 EXAMINING_DOCUMENT b'1470357'
ACTION MARK 10000 258 CONSIDERED_RELEVANT b'1470357'
ACTION SNIPPET 10000 261 SNIPPET_RELEVANT b'379451'
ACTION DOC 10000 281 EXAMINING_DOCUMENT b'379451'
ACTION MARK 10000 284 CONSIDERED_RELEVANT b'379451'
ACTION SNIPPET 10000 287 SNIPPET_RELEVANT b'296707'
ACTION DOC 10000 307 EXAMINING_DOCUMENT b'296707'
ACTION MARK 10000 310 CONSIDERED_RELEVANT b'296707'
ACTION SNIPPET 10000 313 SNIPPET_RELEVANT b'148627'
ACTION DOC 10000 333 EXAMINING_DOCUMENT b'148627'
ACTION MARK 10000 336 CONSIDERED_RELEVANT b'148627'
ACTION SNIPPET 10000 339 SNIPPET_NOT_RELEVANT b'756936'
ACTION SNIPPET 10000 342 SNIPPET_NOT_RELEVANT b'1848545'
ACTION SNIPPET 10000 345 SNIPPET_RELEVANT b'286579'
ACTION DOC 10000 365 EXAMINING_DOCUMENT b'286579'
ACTION MARK 10000 368 CONSIDERED_RELEVANT b'286579'
ACTION SNIPPET 10000 371 SNIPPET_NOT_RELEVANT b'1497518'
ACTION SNIPPET 10000 374 SNIPPET_NOT_RELEVANT b'69938'
ACTION SNIPPET 10000 377 SNIPPET_NOT_RELEVANT b'1432263'
ACTION SNIPPET 10000 380 SNIPPET_NOT_RELEVANT b'478414'
ACTION SNIPPET 10000 383 SNIPPET_RELEVANT b'1462427'
ACTION DOC 10000 403 EXAMINING_DOCUMENT b'1462427'
ACTION MARK 10000 406 CONSIDERED_RELEVANT b'1462427'
