ACTION QUERY 10000 10 Airport Security
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'a4450c72-3e0d-11e6-a66f-aa6c1883b6b1'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'a4450c72-3e0d-11e6-a66f-aa6c1883b6b1'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'a4450c72-3e0d-11e6-a66f-aa6c1883b6b1'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'a3394dc4-807a-11e2-b99e-6baf4ebe42df'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'a3394dc4-807a-11e2-b99e-6baf4ebe42df'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'a3394dc4-807a-11e2-b99e-6baf4ebe42df'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'8c188cc8f2e57da79daaaf82dc321148'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'8c188cc8f2e57da79daaaf82dc321148'
ACTION SNIPPET 10000 93 SNIPPET_RELEVANT b'960a655e37a62111439e35f268d4952a'
ACTION DOC 10000 113 EXAMINING_DOCUMENT b'960a655e37a62111439e35f268d4952a'
ACTION SNIPPET 10000 116 SNIPPET_RELEVANT b'f73cad84-e76c-11e4-9a6a-c1ab95a0600b'
ACTION DOC 10000 136 EXAMINING_DOCUMENT b'f73cad84-e76c-11e4-9a6a-c1ab95a0600b'
ACTION MARK 10000 139 CONSIDERED_RELEVANT b'f73cad84-e76c-11e4-9a6a-c1ab95a0600b'
ACTION SNIPPET 10000 142 SNIPPET_RELEVANT b'4d0dc5d1d779de995afbfc34ba0d984e'
ACTION DOC 10000 162 EXAMINING_DOCUMENT b'4d0dc5d1d779de995afbfc34ba0d984e'
ACTION MARK 10000 165 CONSIDERED_RELEVANT b'4d0dc5d1d779de995afbfc34ba0d984e'
ACTION SNIPPET 10000 168 SNIPPET_RELEVANT b'befaf098-fdb9-11e5-80e4-c381214de1a3'
ACTION DOC 10000 188 EXAMINING_DOCUMENT b'befaf098-fdb9-11e5-80e4-c381214de1a3'
ACTION MARK 10000 191 CONSIDERED_RELEVANT b'befaf098-fdb9-11e5-80e4-c381214de1a3'
ACTION SNIPPET 10000 194 SNIPPET_RELEVANT b'2a15d291261ae0673ef92e9c4a4c0298'
ACTION DOC 10000 214 EXAMINING_DOCUMENT b'2a15d291261ae0673ef92e9c4a4c0298'
ACTION MARK 10000 217 CONSIDERED_RELEVANT b'2a15d291261ae0673ef92e9c4a4c0298'
ACTION SNIPPET 10000 220 SNIPPET_RELEVANT b'482ed90c-46dd-11e2-8061-253bccfc7532'
ACTION DOC 10000 240 EXAMINING_DOCUMENT b'482ed90c-46dd-11e2-8061-253bccfc7532'
ACTION SNIPPET 10000 243 SNIPPET_RELEVANT b'0814a51a-6260-11e7-84a1-a26b75ad39fe'
ACTION DOC 10000 263 EXAMINING_DOCUMENT b'0814a51a-6260-11e7-84a1-a26b75ad39fe'
ACTION MARK 10000 266 CONSIDERED_RELEVANT b'0814a51a-6260-11e7-84a1-a26b75ad39fe'
ACTION SNIPPET 10000 269 SNIPPET_RELEVANT b'9f1e6f89c31d5ee87024f6734ddb67eb'
ACTION DOC 10000 289 EXAMINING_DOCUMENT b'9f1e6f89c31d5ee87024f6734ddb67eb'
ACTION MARK 10000 292 CONSIDERED_RELEVANT b'9f1e6f89c31d5ee87024f6734ddb67eb'
ACTION SNIPPET 10000 295 SNIPPET_RELEVANT b'0bf6de6987f7f5d6ef2169c265e6f808'
ACTION DOC 10000 315 EXAMINING_DOCUMENT b'0bf6de6987f7f5d6ef2169c265e6f808'
ACTION MARK 10000 318 CONSIDERED_RELEVANT b'0bf6de6987f7f5d6ef2169c265e6f808'
ACTION SNIPPET 10000 321 SNIPPET_NOT_RELEVANT b'425159eee5160a03f47580bb9a959bb3'
ACTION SNIPPET 10000 324 SNIPPET_RELEVANT b'07a71cda-2a58-11e5-bd33-395c05608059'
ACTION DOC 10000 344 EXAMINING_DOCUMENT b'07a71cda-2a58-11e5-bd33-395c05608059'
ACTION MARK 10000 347 CONSIDERED_RELEVANT b'07a71cda-2a58-11e5-bd33-395c05608059'
ACTION SNIPPET 10000 350 SNIPPET_NOT_RELEVANT b'876c1466-88cb-11e6-875e-2c1bfe943b66'
ACTION SNIPPET 10000 353 SNIPPET_RELEVANT b'3c448b57a3e7a896eceb7ac65711b923'
ACTION DOC 10000 373 EXAMINING_DOCUMENT b'3c448b57a3e7a896eceb7ac65711b923'
ACTION SNIPPET 10000 376 SNIPPET_NOT_RELEVANT b'c8ecfc3036f6284b549f03d66c475e92'
ACTION SNIPPET 10000 379 SNIPPET_NOT_RELEVANT b'1c2a1c388c3b6aa0171217d615dfe163'
ACTION SNIPPET 10000 382 SNIPPET_RELEVANT b'5a27c15f7aabc2159b0291d370c74ffb'
ACTION DOC 10000 402 EXAMINING_DOCUMENT b'5a27c15f7aabc2159b0291d370c74ffb'
ACTION MARK 10000 405 CONSIDERED_RELEVANT b'5a27c15f7aabc2159b0291d370c74ffb'
ACTION SNIPPET 10000 408 SNIPPET_NOT_RELEVANT b'ed60fe5366481fdf69bef10b71c2ba09'
ACTION SNIPPET 10000 411 SNIPPET_NOT_RELEVANT b'ca1630d4031c24604ef5ada04489929b'
ACTION SNIPPET 10000 414 SNIPPET_NOT_RELEVANT b'8933203610df65783ac2422eebdce394'
ACTION SNIPPET 10000 417 SNIPPET_RELEVANT b'2c32b5081d3e7ccd01395f4c80b80d8e'
ACTION DOC 10000 437 EXAMINING_DOCUMENT b'2c32b5081d3e7ccd01395f4c80b80d8e'
ACTION SNIPPET 10000 440 SNIPPET_NOT_RELEVANT b'9c92d36e-e73c-11e6-bae0-9af981cb61ef'
ACTION SNIPPET 10000 443 SNIPPET_RELEVANT b'247cc20e-fbae-11e2-8752-b41d7ed1f685'
ACTION DOC 10000 463 EXAMINING_DOCUMENT b'247cc20e-fbae-11e2-8752-b41d7ed1f685'
ACTION QUERY 10000 473 How effective is airport security?
ACTION SERP 10000 478 EXAMINE_SERP
ACTION SNIPPET 10000 481 SEEN_PREVIOUSLY b'960a655e37a62111439e35f268d4952a'
ACTION SNIPPET 10000 484 SNIPPET_RELEVANT b'6be2f768-6ed6-11e2-ac36-3d8d9dcaa2e2'
ACTION DOC 10000 504 EXAMINING_DOCUMENT b'6be2f768-6ed6-11e2-ac36-3d8d9dcaa2e2'
ACTION SNIPPET 10000 507 SNIPPET_RELEVANT b'1c2a1c388c3b6aa0171217d615dfe163'
ACTION DOC 10000 527 EXAMINING_DOCUMENT b'1c2a1c388c3b6aa0171217d615dfe163'
ACTION MARK 10000 530 CONSIDERED_RELEVANT b'1c2a1c388c3b6aa0171217d615dfe163'
ACTION SNIPPET 10000 533 SNIPPET_NOT_RELEVANT b'df02e9825714bcaae23f1fc41a21573a'
ACTION SNIPPET 10000 536 SNIPPET_RELEVANT b'c79b3da6-6f1a-11e2-8b8d-e0b59a1b8e2a'
ACTION DOC 10000 556 EXAMINING_DOCUMENT b'c79b3da6-6f1a-11e2-8b8d-e0b59a1b8e2a'
ACTION SNIPPET 10000 559 SNIPPET_NOT_RELEVANT b'd88cbcdeaf523c789744a977d9973a56'
ACTION SNIPPET 10000 562 SNIPPET_RELEVANT b'c8ecfc3036f6284b549f03d66c475e92'
ACTION DOC 10000 582 EXAMINING_DOCUMENT b'c8ecfc3036f6284b549f03d66c475e92'
ACTION QUERY 10000 592 What are the latest airport security measures?
ACTION SERP 10000 597 EXAMINE_SERP
ACTION SNIPPET 10000 600 SNIPPET_NOT_RELEVANT b'd88cbcdeaf523c789744a977d9973a56'
ACTION SNIPPET 10000 603 SEEN_PREVIOUSLY b'0814a51a-6260-11e7-84a1-a26b75ad39fe'
ACTION SNIPPET 10000 606 SEEN_PREVIOUSLY b'1c2a1c388c3b6aa0171217d615dfe163'
ACTION SNIPPET 10000 609 SEEN_PREVIOUSLY b'a4450c72-3e0d-11e6-a66f-aa6c1883b6b1'
ACTION SNIPPET 10000 612 SNIPPET_NOT_RELEVANT b'e6b1f52823a64bef434245fa058fbfec'
ACTION SNIPPET 10000 615 SNIPPET_NOT_RELEVANT b'2eca61a4-6f86-11e1-9118-82b72e1e284a'
ACTION SNIPPET 10000 618 SNIPPET_RELEVANT b'3a3d23be8e51f34403d256a44d87cdf4'
ACTION DOC 10000 638 EXAMINING_DOCUMENT b'3a3d23be8e51f34403d256a44d87cdf4'
ACTION MARK 10000 641 CONSIDERED_RELEVANT b'3a3d23be8e51f34403d256a44d87cdf4'
ACTION SNIPPET 10000 644 SNIPPET_RELEVANT b'e8023cac-5c14-11e7-9fc6-c7ef4bc58d13'
ACTION DOC 10000 664 EXAMINING_DOCUMENT b'e8023cac-5c14-11e7-9fc6-c7ef4bc58d13'
ACTION MARK 10000 667 CONSIDERED_RELEVANT b'e8023cac-5c14-11e7-9fc6-c7ef4bc58d13'
ACTION SNIPPET 10000 670 SNIPPET_RELEVANT b'1ad9d0f2-054e-11e4-a0dd-f2b22a257353'
ACTION DOC 10000 690 EXAMINING_DOCUMENT b'1ad9d0f2-054e-11e4-a0dd-f2b22a257353'
ACTION MARK 10000 693 CONSIDERED_RELEVANT b'1ad9d0f2-054e-11e4-a0dd-f2b22a257353'
ACTION SNIPPET 10000 696 SNIPPET_RELEVANT b'2861aed4b4d9e4cc8787f27467359594'
ACTION DOC 10000 716 EXAMINING_DOCUMENT b'2861aed4b4d9e4cc8787f27467359594'
ACTION MARK 10000 719 CONSIDERED_RELEVANT b'2861aed4b4d9e4cc8787f27467359594'
ACTION SNIPPET 10000 722 SNIPPET_NOT_RELEVANT b'dd2cced8-4b75-11e6-8dac-0c6e4accc5b1'
ACTION SNIPPET 10000 725 SNIPPET_RELEVANT b'185a14ae-5f4b-11e7-84a1-a26b75ad39fe'
ACTION DOC 10000 745 EXAMINING_DOCUMENT b'185a14ae-5f4b-11e7-84a1-a26b75ad39fe'
ACTION MARK 10000 748 CONSIDERED_RELEVANT b'185a14ae-5f4b-11e7-84a1-a26b75ad39fe'
ACTION SNIPPET 10000 751 SNIPPET_NOT_RELEVANT b'a817091ff6e514c97fe2edb706547c2a'
ACTION SNIPPET 10000 754 SNIPPET_RELEVANT b'ed408c80-1d3c-11e2-b647-bb1668e64058'
ACTION DOC 10000 774 EXAMINING_DOCUMENT b'ed408c80-1d3c-11e2-b647-bb1668e64058'
ACTION MARK 10000 777 CONSIDERED_RELEVANT b'ed408c80-1d3c-11e2-b647-bb1668e64058'
ACTION SNIPPET 10000 780 SNIPPET_RELEVANT b'd9439bb1b235ce43080e0d03ad793319'
ACTION DOC 10000 800 EXAMINING_DOCUMENT b'd9439bb1b235ce43080e0d03ad793319'
ACTION MARK 10000 803 CONSIDERED_RELEVANT b'd9439bb1b235ce43080e0d03ad793319'
ACTION SNIPPET 10000 806 SNIPPET_RELEVANT b'bfca7a64-5b5b-11e3-a66d-156b463c78aa'
ACTION DOC 10000 826 EXAMINING_DOCUMENT b'bfca7a64-5b5b-11e3-a66d-156b463c78aa'
ACTION SNIPPET 10000 829 SNIPPET_RELEVANT b'a96b484c-5890-11e4-8264-deed989ae9a2'
ACTION DOC 10000 849 EXAMINING_DOCUMENT b'a96b484c-5890-11e4-8264-deed989ae9a2'
ACTION MARK 10000 852 CONSIDERED_RELEVANT b'a96b484c-5890-11e4-8264-deed989ae9a2'
ACTION SNIPPET 10000 855 SNIPPET_NOT_RELEVANT b'4120d4ea1b766740ef0fbb9dc20b9e10'
ACTION SNIPPET 10000 858 SNIPPET_RELEVANT b'd4efd080-0dcb-11e7-9d5a-a83e627dc120'
ACTION DOC 10000 878 EXAMINING_DOCUMENT b'd4efd080-0dcb-11e7-9d5a-a83e627dc120'
ACTION MARK 10000 881 CONSIDERED_RELEVANT b'd4efd080-0dcb-11e7-9d5a-a83e627dc120'
ACTION SNIPPET 10000 884 SEEN_PREVIOUSLY b'960a655e37a62111439e35f268d4952a'
