ACTION QUERY 10000 10 human stampede
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'1315825'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'1450252'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'818047'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'818047'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'492316'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'492316'
ACTION QUERY 10000 77 What causes a human stampede?
ACTION SERP 10000 82 EXAMINE_SERP
ACTION SNIPPET 10000 85 SNIPPET_RELEVANT b'127391'
ACTION DOC 10000 105 EXAMINING_DOCUMENT b'127391'
ACTION MARK 10000 108 CONSIDERED_RELEVANT b'127391'
ACTION SNIPPET 10000 111 SNIPPET_RELEVANT b'1753507'
ACTION DOC 10000 131 EXAMINING_DOCUMENT b'1753507'
ACTION MARK 10000 134 CONSIDERED_RELEVANT b'1753507'
ACTION SNIPPET 10000 137 SNIPPET_RELEVANT b'365725'
ACTION DOC 10000 157 EXAMINING_DOCUMENT b'365725'
ACTION MARK 10000 160 CONSIDERED_RELEVANT b'365725'
ACTION SNIPPET 10000 163 SNIPPET_RELEVANT b'1515218'
ACTION DOC 10000 183 EXAMINING_DOCUMENT b'1515218'
ACTION MARK 10000 186 CONSIDERED_RELEVANT b'1515218'
ACTION SNIPPET 10000 189 SNIPPET_RELEVANT b'808151'
ACTION DOC 10000 209 EXAMINING_DOCUMENT b'808151'
ACTION MARK 10000 212 CONSIDERED_RELEVANT b'808151'
ACTION SNIPPET 10000 215 SNIPPET_RELEVANT b'328697'
ACTION DOC 10000 235 EXAMINING_DOCUMENT b'328697'
ACTION SNIPPET 10000 238 SNIPPET_RELEVANT b'1789645'
ACTION DOC 10000 258 EXAMINING_DOCUMENT b'1789645'
ACTION MARK 10000 261 CONSIDERED_RELEVANT b'1789645'
ACTION SNIPPET 10000 264 SNIPPET_RELEVANT b'278899'
ACTION DOC 10000 284 EXAMINING_DOCUMENT b'278899'
ACTION SNIPPET 10000 287 SNIPPET_RELEVANT b'1467225'
ACTION DOC 10000 307 EXAMINING_DOCUMENT b'1467225'
ACTION MARK 10000 310 CONSIDERED_RELEVANT b'1467225'
ACTION SNIPPET 10000 313 SNIPPET_RELEVANT b'1522020'
ACTION DOC 10000 333 EXAMINING_DOCUMENT b'1522020'
ACTION MARK 10000 336 CONSIDERED_RELEVANT b'1522020'
ACTION SNIPPET 10000 339 SNIPPET_NOT_RELEVANT b'1315825'
ACTION SNIPPET 10000 342 SNIPPET_RELEVANT b'365604'
ACTION DOC 10000 362 EXAMINING_DOCUMENT b'365604'
ACTION MARK 10000 365 CONSIDERED_RELEVANT b'365604'
ACTION SNIPPET 10000 368 SNIPPET_NOT_RELEVANT b'1450252'
ACTION SNIPPET 10000 371 SNIPPET_NOT_RELEVANT b'1199011'
ACTION SNIPPET 10000 374 SNIPPET_RELEVANT b'746477'
ACTION DOC 10000 394 EXAMINING_DOCUMENT b'746477'
ACTION MARK 10000 397 CONSIDERED_RELEVANT b'746477'
ACTION SNIPPET 10000 400 SNIPPET_NOT_RELEVANT b'459087'
ACTION SNIPPET 10000 403 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 406 SEEN_PREVIOUSLY b'492316'
ACTION SNIPPET 10000 409 SNIPPET_RELEVANT b'1698991'
ACTION DOC 10000 429 EXAMINING_DOCUMENT b'1698991'
ACTION MARK 10000 432 CONSIDERED_RELEVANT b'1698991'
ACTION SNIPPET 10000 435 SNIPPET_RELEVANT b'1292328'
ACTION DOC 10000 455 EXAMINING_DOCUMENT b'1292328'
ACTION MARK 10000 458 CONSIDERED_RELEVANT b'1292328'
ACTION SNIPPET 10000 461 SNIPPET_RELEVANT b'497389'
ACTION DOC 10000 481 EXAMINING_DOCUMENT b'497389'
ACTION MARK 10000 484 CONSIDERED_RELEVANT b'497389'
ACTION SNIPPET 10000 487 SNIPPET_RELEVANT b'1698852'
ACTION DOC 10000 507 EXAMINING_DOCUMENT b'1698852'
ACTION MARK 10000 510 CONSIDERED_RELEVANT b'1698852'
ACTION SNIPPET 10000 513 SNIPPET_RELEVANT b'363729'
ACTION DOC 10000 533 EXAMINING_DOCUMENT b'363729'
ACTION SNIPPET 10000 536 SNIPPET_RELEVANT b'175438'
ACTION DOC 10000 556 EXAMINING_DOCUMENT b'175438'
ACTION SNIPPET 10000 559 SNIPPET_RELEVANT b'695724'
ACTION DOC 10000 579 EXAMINING_DOCUMENT b'695724'
ACTION QUERY 10000 589 Prevention of human stampedes
ACTION SERP 10000 594 EXAMINE_SERP
ACTION SNIPPET 10000 597 SNIPPET_RELEVANT b'1475110'
ACTION DOC 10000 617 EXAMINING_DOCUMENT b'1475110'
ACTION MARK 10000 620 CONSIDERED_RELEVANT b'1475110'
ACTION SNIPPET 10000 623 SEEN_PREVIOUSLY b'1698852'
ACTION SNIPPET 10000 626 SNIPPET_RELEVANT b'1731810'
ACTION DOC 10000 646 EXAMINING_DOCUMENT b'1731810'
ACTION MARK 10000 649 CONSIDERED_RELEVANT b'1731810'
ACTION SNIPPET 10000 652 SNIPPET_NOT_RELEVANT b'1315825'
ACTION SNIPPET 10000 655 SNIPPET_RELEVANT b'1450252'
ACTION DOC 10000 675 EXAMINING_DOCUMENT b'1450252'
ACTION SNIPPET 10000 678 SNIPPET_NOT_RELEVANT b'1199011'
ACTION SNIPPET 10000 681 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 684 SEEN_PREVIOUSLY b'492316'
ACTION SNIPPET 10000 687 SNIPPET_RELEVANT b'1467342'
ACTION DOC 10000 707 EXAMINING_DOCUMENT b'1467342'
ACTION MARK 10000 710 CONSIDERED_RELEVANT b'1467342'
ACTION SNIPPET 10000 713 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 716 SEEN_PREVIOUSLY b'363729'
ACTION SNIPPET 10000 719 SNIPPET_NOT_RELEVANT b'100763'
ACTION SNIPPET 10000 722 SNIPPET_RELEVANT b'868795'
ACTION DOC 10000 742 EXAMINING_DOCUMENT b'868795'
ACTION MARK 10000 745 CONSIDERED_RELEVANT b'868795'
ACTION SNIPPET 10000 748 SNIPPET_RELEVANT b'1465986'
ACTION DOC 10000 768 EXAMINING_DOCUMENT b'1465986'
ACTION MARK 10000 771 CONSIDERED_RELEVANT b'1465986'
ACTION SNIPPET 10000 774 SNIPPET_NOT_RELEVANT b'423877'
ACTION SNIPPET 10000 777 SNIPPET_NOT_RELEVANT b'50965'
ACTION SNIPPET 10000 780 SNIPPET_NOT_RELEVANT b'1285941'
ACTION SNIPPET 10000 783 SEEN_PREVIOUSLY b'1292328'
ACTION SNIPPET 10000 786 SNIPPET_RELEVANT b'497300'
ACTION DOC 10000 806 EXAMINING_DOCUMENT b'497300'
ACTION MARK 10000 809 CONSIDERED_RELEVANT b'497300'
ACTION SNIPPET 10000 812 SEEN_PREVIOUSLY b'1515218'
ACTION SNIPPET 10000 815 SNIPPET_NOT_RELEVANT b'127053'
ACTION SNIPPET 10000 818 SNIPPET_NOT_RELEVANT b'568876'
ACTION SNIPPET 10000 821 SEEN_PREVIOUSLY b'1789645'
ACTION SNIPPET 10000 824 SEEN_PREVIOUSLY b'127391'
ACTION SNIPPET 10000 827 SEEN_PREVIOUSLY b'1753507'
ACTION SNIPPET 10000 830 SNIPPET_NOT_RELEVANT b'1061863'
ACTION SNIPPET 10000 833 SNIPPET_RELEVANT b'498021'
ACTION DOC 10000 853 EXAMINING_DOCUMENT b'498021'
ACTION SNIPPET 10000 856 SEEN_PREVIOUSLY b'808151'
ACTION SNIPPET 10000 859 SEEN_PREVIOUSLY b'365725'
ACTION QUERY 10000 869 How to survive a human stampede?
ACTION SERP 10000 874 EXAMINE_SERP
ACTION SNIPPET 10000 877 SEEN_PREVIOUSLY b'1475110'
ACTION SNIPPET 10000 880 SNIPPET_RELEVANT b'121675'
ACTION DOC 10000 900 EXAMINING_DOCUMENT b'121675'
ACTION SNIPPET 10000 903 SNIPPET_NOT_RELEVANT b'1315825'
ACTION SNIPPET 10000 906 SEEN_PREVIOUSLY b'1450252'
ACTION SNIPPET 10000 909 SNIPPET_RELEVANT b'276863'
ACTION DOC 10000 929 EXAMINING_DOCUMENT b'276863'
ACTION QUERY 10000 939 Deadliest human stampedes
ACTION SERP 10000 944 EXAMINE_SERP
ACTION SNIPPET 10000 947 SNIPPET_RELEVANT b'1293154'
ACTION DOC 10000 967 EXAMINING_DOCUMENT b'1293154'
ACTION MARK 10000 970 CONSIDERED_RELEVANT b'1293154'
ACTION SNIPPET 10000 973 SNIPPET_RELEVANT b'837945'
ACTION DOC 10000 993 EXAMINING_DOCUMENT b'837945'
ACTION MARK 10000 996 CONSIDERED_RELEVANT b'837945'
ACTION SNIPPET 10000 999 SNIPPET_NOT_RELEVANT b'1467690'
ACTION SNIPPET 10000 1002 SNIPPET_NOT_RELEVANT b'1731589'
ACTION SNIPPET 10000 1005 SEEN_PREVIOUSLY b'1465986'
ACTION SNIPPET 10000 1008 SNIPPET_NOT_RELEVANT b'71573'
ACTION SNIPPET 10000 1011 SNIPPET_RELEVANT b'1315825'
ACTION DOC 10000 1031 EXAMINING_DOCUMENT b'1315825'
ACTION SNIPPET 10000 1034 SNIPPET_RELEVANT b'306101'
ACTION DOC 10000 1054 EXAMINING_DOCUMENT b'306101'
ACTION QUERY 10000 1064 How do human stampedes happen?
ACTION SERP 10000 1069 EXAMINE_SERP
ACTION SNIPPET 10000 1072 SEEN_PREVIOUSLY b'746477'
ACTION SNIPPET 10000 1075 SNIPPET_NOT_RELEVANT b'1393201'
ACTION SNIPPET 10000 1078 SNIPPET_RELEVANT b'497129'
ACTION DOC 10000 1098 EXAMINING_DOCUMENT b'497129'
ACTION MARK 10000 1101 CONSIDERED_RELEVANT b'497129'
ACTION SNIPPET 10000 1104 SEEN_PREVIOUSLY b'1522020'
ACTION SNIPPET 10000 1107 SEEN_PREVIOUSLY b'1315825'
ACTION SNIPPET 10000 1110 SEEN_PREVIOUSLY b'1450252'
ACTION SNIPPET 10000 1113 SNIPPET_RELEVANT b'1731589'
ACTION DOC 10000 1133 EXAMINING_DOCUMENT b'1731589'
ACTION MARK 10000 1136 CONSIDERED_RELEVANT b'1731589'
ACTION SNIPPET 10000 1139 SEEN_PREVIOUSLY b'278899'
ACTION SNIPPET 10000 1142 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 1145 SEEN_PREVIOUSLY b'492316'
ACTION SNIPPET 10000 1148 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 1151 SNIPPET_NOT_RELEVANT b'485041'
ACTION SNIPPET 10000 1154 SEEN_PREVIOUSLY b'363729'
ACTION SNIPPET 10000 1157 SEEN_PREVIOUSLY b'1465986'
ACTION SNIPPET 10000 1160 SEEN_PREVIOUSLY b'175438'
ACTION SNIPPET 10000 1163 SNIPPET_RELEVANT b'100763'
ACTION DOC 10000 1183 EXAMINING_DOCUMENT b'100763'
ACTION MARK 10000 1186 CONSIDERED_RELEVANT b'100763'
ACTION SNIPPET 10000 1189 SNIPPET_RELEVANT b'1156635'
ACTION DOC 10000 1209 EXAMINING_DOCUMENT b'1156635'
ACTION SNIPPET 10000 1212 SNIPPET_NOT_RELEVANT b'500222'
ACTION SNIPPET 10000 1215 SNIPPET_RELEVANT b'1466129'
ACTION DOC 10000 1235 EXAMINING_DOCUMENT b'1466129'
ACTION MARK 10000 1238 CONSIDERED_RELEVANT b'1466129'
ACTION SNIPPET 10000 1241 SNIPPET_NOT_RELEVANT b'1699122'
ACTION SNIPPET 10000 1244 SNIPPET_RELEVANT b'423877'
