ACTION QUERY 10000 10 home schooling
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'973404'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'973404'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'973404'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1356039'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1356039'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1356039'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'403043'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'403043'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'403043'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1696258'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1696258'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1696258'
ACTION SNIPPET 10000 122 SNIPPET_NOT_RELEVANT b'72341'
ACTION SNIPPET 10000 125 SNIPPET_RELEVANT b'1682148'
ACTION DOC 10000 145 EXAMINING_DOCUMENT b'1682148'
ACTION MARK 10000 148 CONSIDERED_RELEVANT b'1682148'
ACTION SNIPPET 10000 151 SNIPPET_RELEVANT b'1537262'
ACTION DOC 10000 171 EXAMINING_DOCUMENT b'1537262'
ACTION MARK 10000 174 CONSIDERED_RELEVANT b'1537262'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'1635819'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'1635819'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'1635819'
ACTION SNIPPET 10000 203 SNIPPET_RELEVANT b'1266276'
ACTION DOC 10000 223 EXAMINING_DOCUMENT b'1266276'
ACTION MARK 10000 226 CONSIDERED_RELEVANT b'1266276'
ACTION SNIPPET 10000 229 SNIPPET_RELEVANT b'1630458'
ACTION DOC 10000 249 EXAMINING_DOCUMENT b'1630458'
ACTION MARK 10000 252 CONSIDERED_RELEVANT b'1630458'
ACTION QUERY 10000 262 Homeschooling benefits
ACTION SERP 10000 267 EXAMINE_SERP
ACTION SNIPPET 10000 270 SNIPPET_RELEVANT b'309639'
ACTION DOC 10000 290 EXAMINING_DOCUMENT b'309639'
ACTION MARK 10000 293 CONSIDERED_RELEVANT b'309639'
ACTION SNIPPET 10000 296 SNIPPET_RELEVANT b'1203538'
ACTION DOC 10000 316 EXAMINING_DOCUMENT b'1203538'
ACTION MARK 10000 319 CONSIDERED_RELEVANT b'1203538'
ACTION SNIPPET 10000 322 SNIPPET_RELEVANT b'1057716'
ACTION DOC 10000 342 EXAMINING_DOCUMENT b'1057716'
ACTION MARK 10000 345 CONSIDERED_RELEVANT b'1057716'
ACTION SNIPPET 10000 348 SNIPPET_RELEVANT b'1307036'
ACTION DOC 10000 368 EXAMINING_DOCUMENT b'1307036'
ACTION MARK 10000 371 CONSIDERED_RELEVANT b'1307036'
ACTION SNIPPET 10000 374 SNIPPET_NOT_RELEVANT b'1283841'
ACTION SNIPPET 10000 377 SNIPPET_RELEVANT b'1283837'
ACTION DOC 10000 397 EXAMINING_DOCUMENT b'1283837'
ACTION MARK 10000 400 CONSIDERED_RELEVANT b'1283837'
ACTION SNIPPET 10000 403 SNIPPET_NOT_RELEVANT b'905058'
ACTION SNIPPET 10000 406 SNIPPET_NOT_RELEVANT b'1746475'
ACTION SNIPPET 10000 409 SNIPPET_NOT_RELEVANT b'1618576'
ACTION SNIPPET 10000 412 SNIPPET_RELEVANT b'1004118'
ACTION DOC 10000 432 EXAMINING_DOCUMENT b'1004118'
ACTION MARK 10000 435 CONSIDERED_RELEVANT b'1004118'
ACTION QUERY 10000 445 Homeschooling supplies
ACTION SERP 10000 450 EXAMINE_SERP
ACTION SNIPPET 10000 453 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 456 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 459 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 462 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 465 SNIPPET_NOT_RELEVANT b'1283841'
ACTION SNIPPET 10000 468 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 471 SEEN_PREVIOUSLY b'1004118'
ACTION SNIPPET 10000 474 SNIPPET_NOT_RELEVANT b'905058'
ACTION SNIPPET 10000 477 SNIPPET_RELEVANT b'1746475'
ACTION DOC 10000 497 EXAMINING_DOCUMENT b'1746475'
ACTION SNIPPET 10000 500 SNIPPET_NOT_RELEVANT b'1618576'
ACTION QUERY 10000 510 Homeschool curriculum
ACTION SERP 10000 515 EXAMINE_SERP
ACTION SNIPPET 10000 518 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 521 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 524 SNIPPET_RELEVANT b'1283841'
ACTION DOC 10000 544 EXAMINING_DOCUMENT b'1283841'
ACTION MARK 10000 547 CONSIDERED_RELEVANT b'1283841'
ACTION SNIPPET 10000 550 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 553 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 556 SEEN_PREVIOUSLY b'1307036'
ACTION SNIPPET 10000 559 SEEN_PREVIOUSLY b'1266276'
ACTION SNIPPET 10000 562 SNIPPET_RELEVANT b'1764140'
ACTION DOC 10000 582 EXAMINING_DOCUMENT b'1764140'
ACTION MARK 10000 585 CONSIDERED_RELEVANT b'1764140'
ACTION SNIPPET 10000 588 SNIPPET_RELEVANT b'1534317'
ACTION DOC 10000 608 EXAMINING_DOCUMENT b'1534317'
ACTION MARK 10000 611 CONSIDERED_RELEVANT b'1534317'
ACTION SNIPPET 10000 614 SNIPPET_NOT_RELEVANT b'905058'
ACTION QUERY 10000 624 Homeschool lesson plans
ACTION SERP 10000 629 EXAMINE_SERP
ACTION SNIPPET 10000 632 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 635 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 638 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 641 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 644 SNIPPET_RELEVANT b'579846'
