ACTION QUERY 10000 10 railway accidents
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1127996'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1127996'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1127996'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'14873'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'14873'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'14873'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1275509'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1275509'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1275509'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1641342'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1641342'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1641342'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'46187'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'46187'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'46187'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1239717'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1239717'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'1239717'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'784019'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'784019'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'784019'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'1598678'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'1598678'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'1240001'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'1240001'
ACTION MARK 10000 246 CONSIDERED_RELEVANT b'1240001'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'1751955'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'1751955'
ACTION SNIPPET 10000 272 SNIPPET_RELEVANT b'1780662'
ACTION DOC 10000 292 EXAMINING_DOCUMENT b'1780662'
ACTION MARK 10000 295 CONSIDERED_RELEVANT b'1780662'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'121309'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'121309'
ACTION MARK 10000 321 CONSIDERED_RELEVANT b'121309'
ACTION SNIPPET 10000 324 SNIPPET_NOT_RELEVANT b'317296'
ACTION SNIPPET 10000 327 SNIPPET_NOT_RELEVANT b'1403372'
ACTION SNIPPET 10000 330 SNIPPET_RELEVANT b'1022091'
ACTION DOC 10000 350 EXAMINING_DOCUMENT b'1022091'
ACTION MARK 10000 353 CONSIDERED_RELEVANT b'1022091'
ACTION SNIPPET 10000 356 SNIPPET_RELEVANT b'1391259'
ACTION DOC 10000 376 EXAMINING_DOCUMENT b'1391259'
ACTION MARK 10000 379 CONSIDERED_RELEVANT b'1391259'
ACTION SNIPPET 10000 382 SNIPPET_RELEVANT b'958897'
ACTION DOC 10000 402 EXAMINING_DOCUMENT b'958897'
ACTION MARK 10000 405 CONSIDERED_RELEVANT b'958897'
ACTION SNIPPET 10000 408 SNIPPET_NOT_RELEVANT b'1565750'
ACTION SNIPPET 10000 411 SNIPPET_RELEVANT b'1157926'
ACTION DOC 10000 431 EXAMINING_DOCUMENT b'1157926'
ACTION MARK 10000 434 CONSIDERED_RELEVANT b'1157926'
ACTION SNIPPET 10000 437 SNIPPET_RELEVANT b'1561575'
ACTION DOC 10000 457 EXAMINING_DOCUMENT b'1561575'
ACTION MARK 10000 460 CONSIDERED_RELEVANT b'1561575'
ACTION SNIPPET 10000 463 SNIPPET_NOT_RELEVANT b'1648105'
ACTION SNIPPET 10000 466 SNIPPET_NOT_RELEVANT b'39908'
ACTION SNIPPET 10000 469 SNIPPET_RELEVANT b'1667781'
ACTION DOC 10000 489 EXAMINING_DOCUMENT b'1667781'
ACTION MARK 10000 492 CONSIDERED_RELEVANT b'1667781'
ACTION SNIPPET 10000 495 SNIPPET_RELEVANT b'1638404'
ACTION DOC 10000 515 EXAMINING_DOCUMENT b'1638404'
ACTION MARK 10000 518 CONSIDERED_RELEVANT b'1638404'
ACTION SNIPPET 10000 521 SNIPPET_RELEVANT b'784177'
ACTION DOC 10000 541 EXAMINING_DOCUMENT b'784177'
ACTION MARK 10000 544 CONSIDERED_RELEVANT b'784177'
ACTION SNIPPET 10000 547 SNIPPET_RELEVANT b'159923'
ACTION DOC 10000 567 EXAMINING_DOCUMENT b'159923'
ACTION MARK 10000 570 CONSIDERED_RELEVANT b'159923'
ACTION SNIPPET 10000 573 SNIPPET_RELEVANT b'157393'
ACTION DOC 10000 593 EXAMINING_DOCUMENT b'157393'
ACTION MARK 10000 596 CONSIDERED_RELEVANT b'157393'
ACTION SNIPPET 10000 599 SNIPPET_RELEVANT b'214578'
ACTION DOC 10000 619 EXAMINING_DOCUMENT b'214578'
ACTION MARK 10000 622 CONSIDERED_RELEVANT b'214578'
ACTION SNIPPET 10000 625 SNIPPET_RELEVANT b'1824801'
ACTION DOC 10000 645 EXAMINING_DOCUMENT b'1824801'
ACTION SNIPPET 10000 648 SNIPPET_NOT_RELEVANT b'97796'
ACTION SNIPPET 10000 651 SNIPPET_RELEVANT b'445653'
ACTION DOC 10000 671 EXAMINING_DOCUMENT b'445653'
ACTION MARK 10000 674 CONSIDERED_RELEVANT b'445653'
ACTION SNIPPET 10000 677 SNIPPET_NOT_RELEVANT b'1047557'
ACTION SNIPPET 10000 680 SNIPPET_RELEVANT b'1143211'
ACTION DOC 10000 700 EXAMINING_DOCUMENT b'1143211'
ACTION MARK 10000 703 CONSIDERED_RELEVANT b'1143211'
ACTION SNIPPET 10000 706 SNIPPET_NOT_RELEVANT b'112631'
ACTION SNIPPET 10000 709 SNIPPET_RELEVANT b'2534'
ACTION DOC 10000 729 EXAMINING_DOCUMENT b'2534'
ACTION MARK 10000 732 CONSIDERED_RELEVANT b'2534'
ACTION SNIPPET 10000 735 SEEN_PREVIOUSLY b'2534'
