ACTION QUERY 10000 10 journalist risks
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1547678'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1547678'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1547678'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1369972'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1369972'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1369972'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'728912'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'728912'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'728912'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'679801'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'679801'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'679801'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1364005'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1364005'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1364005'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1544859'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1544859'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'1544859'
ACTION SNIPPET 10000 174 SNIPPET_NOT_RELEVANT b'1401994'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'344024'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'344024'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'344024'
ACTION SNIPPET 10000 203 SNIPPET_RELEVANT b'1474318'
ACTION DOC 10000 223 EXAMINING_DOCUMENT b'1474318'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'1467740'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'1467740'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'1096101'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'1096101'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'1096101'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'1369835'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'1369835'
ACTION MARK 10000 298 CONSIDERED_RELEVANT b'1369835'
ACTION SNIPPET 10000 301 SNIPPET_RELEVANT b'959455'
ACTION DOC 10000 321 EXAMINING_DOCUMENT b'959455'
ACTION MARK 10000 324 CONSIDERED_RELEVANT b'959455'
ACTION SNIPPET 10000 327 SNIPPET_RELEVANT b'1831146'
ACTION DOC 10000 347 EXAMINING_DOCUMENT b'1831146'
ACTION MARK 10000 350 CONSIDERED_RELEVANT b'1831146'
ACTION SNIPPET 10000 353 SNIPPET_NOT_RELEVANT b'1392654'
ACTION SNIPPET 10000 356 SNIPPET_RELEVANT b'1541157'
ACTION DOC 10000 376 EXAMINING_DOCUMENT b'1541157'
ACTION MARK 10000 379 CONSIDERED_RELEVANT b'1541157'
ACTION SNIPPET 10000 382 SNIPPET_RELEVANT b'1473646'
ACTION DOC 10000 402 EXAMINING_DOCUMENT b'1473646'
ACTION MARK 10000 405 CONSIDERED_RELEVANT b'1473646'
ACTION SNIPPET 10000 408 SNIPPET_NOT_RELEVANT b'1477141'
ACTION SNIPPET 10000 411 SNIPPET_NOT_RELEVANT b'29914'
ACTION SNIPPET 10000 414 SNIPPET_RELEVANT b'798857'
ACTION DOC 10000 434 EXAMINING_DOCUMENT b'798857'
ACTION MARK 10000 437 CONSIDERED_RELEVANT b'798857'
ACTION SNIPPET 10000 440 SNIPPET_RELEVANT b'799037'
ACTION DOC 10000 460 EXAMINING_DOCUMENT b'799037'
ACTION MARK 10000 463 CONSIDERED_RELEVANT b'799037'
ACTION SNIPPET 10000 466 SNIPPET_RELEVANT b'561161'
ACTION DOC 10000 486 EXAMINING_DOCUMENT b'561161'
ACTION MARK 10000 489 CONSIDERED_RELEVANT b'561161'
ACTION SNIPPET 10000 492 SNIPPET_RELEVANT b'735868'
ACTION DOC 10000 512 EXAMINING_DOCUMENT b'735868'
ACTION MARK 10000 515 CONSIDERED_RELEVANT b'735868'
ACTION SNIPPET 10000 518 SNIPPET_NOT_RELEVANT b'1091374'
ACTION SNIPPET 10000 521 SNIPPET_RELEVANT b'1738061'
ACTION DOC 10000 541 EXAMINING_DOCUMENT b'1738061'
ACTION MARK 10000 544 CONSIDERED_RELEVANT b'1738061'
ACTION SNIPPET 10000 547 SNIPPET_RELEVANT b'1424321'
ACTION DOC 10000 567 EXAMINING_DOCUMENT b'1424321'
ACTION MARK 10000 570 CONSIDERED_RELEVANT b'1424321'
ACTION SNIPPET 10000 573 SNIPPET_RELEVANT b'1664890'
ACTION DOC 10000 593 EXAMINING_DOCUMENT b'1664890'
ACTION SNIPPET 10000 596 SNIPPET_NOT_RELEVANT b'169335'
ACTION SNIPPET 10000 599 SNIPPET_RELEVANT b'9862'
ACTION DOC 10000 619 EXAMINING_DOCUMENT b'9862'
ACTION MARK 10000 622 CONSIDERED_RELEVANT b'9862'
ACTION SNIPPET 10000 625 SNIPPET_NOT_RELEVANT b'507369'
ACTION SNIPPET 10000 628 SNIPPET_RELEVANT b'1370863'
ACTION DOC 10000 648 EXAMINING_DOCUMENT b'1370863'
ACTION MARK 10000 651 CONSIDERED_RELEVANT b'1370863'
ACTION SNIPPET 10000 654 SNIPPET_NOT_RELEVANT b'38006'
ACTION SNIPPET 10000 657 SNIPPET_NOT_RELEVANT b'1751929'
ACTION SNIPPET 10000 660 SNIPPET_NOT_RELEVANT b'852011'
ACTION SNIPPET 10000 663 SNIPPET_RELEVANT b'821207'
ACTION DOC 10000 683 EXAMINING_DOCUMENT b'821207'
ACTION SNIPPET 10000 686 SNIPPET_RELEVANT b'1063675'
ACTION DOC 10000 706 EXAMINING_DOCUMENT b'1063675'
ACTION QUERY 10000 716 Journalist safety
ACTION SERP 10000 721 EXAMINE_SERP
ACTION SNIPPET 10000 724 SNIPPET_NOT_RELEVANT b'1734783'
ACTION SNIPPET 10000 727 SNIPPET_NOT_RELEVANT b'993691'
ACTION SNIPPET 10000 730 SNIPPET_NOT_RELEVANT b'117309'
ACTION SNIPPET 10000 733 SEEN_PREVIOUSLY b'1738061'
ACTION SNIPPET 10000 736 SNIPPET_RELEVANT b'1498126'
ACTION DOC 10000 756 EXAMINING_DOCUMENT b'1498126'
ACTION SNIPPET 10000 759 SNIPPET_NOT_RELEVANT b'765922'
ACTION SNIPPET 10000 762 SEEN_PREVIOUSLY b'1831146'
ACTION SNIPPET 10000 765 SNIPPET_NOT_RELEVANT b'639237'
ACTION SNIPPET 10000 768 SNIPPET_NOT_RELEVANT b'1285501'
ACTION QUERY 10000 778 Media safety
ACTION SERP 10000 783 EXAMINE_SERP
ACTION SNIPPET 10000 786 SNIPPET_RELEVANT b'109095'
ACTION DOC 10000 806 EXAMINING_DOCUMENT b'109095'
ACTION SNIPPET 10000 809 SEEN_PREVIOUSLY b'1738061'
ACTION SNIPPET 10000 812 SNIPPET_RELEVANT b'156074'
ACTION DOC 10000 832 EXAMINING_DOCUMENT b'156074'
ACTION QUERY 10000 842 Journalist harassment
ACTION SERP 10000 847 EXAMINE_SERP
ACTION SNIPPET 10000 850 SNIPPET_NOT_RELEVANT b'359191'
ACTION SNIPPET 10000 853 SNIPPET_RELEVANT b'37575'
ACTION DOC 10000 873 EXAMINING_DOCUMENT b'37575'
ACTION SNIPPET 10000 876 SNIPPET_NOT_RELEVANT b'1106647'
ACTION SNIPPET 10000 879 SNIPPET_RELEVANT b'1439158'
ACTION DOC 10000 899 EXAMINING_DOCUMENT b'1439158'
ACTION MARK 10000 902 CONSIDERED_RELEVANT b'1439158'
ACTION SNIPPET 10000 905 SNIPPET_NOT_RELEVANT b'211607'
ACTION SNIPPET 10000 908 SNIPPET_NOT_RELEVANT b'1438557'
ACTION SNIPPET 10000 911 SNIPPET_NOT_RELEVANT b'1273775'
ACTION SNIPPET 10000 914 SNIPPET_RELEVANT b'1095257'
ACTION DOC 10000 934 EXAMINING_DOCUMENT b'1095257'
ACTION SNIPPET 10000 937 SNIPPET_RELEVANT b'1023909'
ACTION DOC 10000 957 EXAMINING_DOCUMENT b'1023909'
ACTION QUERY 10000 967 Journalist abuse
ACTION SERP 10000 972 EXAMINE_SERP
ACTION SNIPPET 10000 975 SNIPPET_NOT_RELEVANT b'1028944'
ACTION SNIPPET 10000 978 SNIPPET_NOT_RELEVANT b'679740'
ACTION SNIPPET 10000 981 SNIPPET_RELEVANT b'1279275'
ACTION DOC 10000 1001 EXAMINING_DOCUMENT b'1279275'
ACTION MARK 10000 1004 CONSIDERED_RELEVANT b'1279275'
ACTION SNIPPET 10000 1007 SNIPPET_NOT_RELEVANT b'730799'
ACTION SNIPPET 10000 1010 SNIPPET_RELEVANT b'2524'
ACTION DOC 10000 1030 EXAMINING_DOCUMENT b'2524'
ACTION SNIPPET 10000 1033 SEEN_PREVIOUSLY b'2524'
ACTION SNIPPET 10000 1036 SNIPPET_RELEVANT b'346960'
ACTION DOC 10000 1056 EXAMINING_DOCUMENT b'346960'
ACTION MARK 10000 1059 CONSIDERED_RELEVANT b'346960'
ACTION SNIPPET 10000 1062 SNIPPET_RELEVANT b'1150692'
ACTION DOC 10000 1082 EXAMINING_DOCUMENT b'1150692'
ACTION MARK 10000 1085 CONSIDERED_RELEVANT b'1150692'
ACTION SNIPPET 10000 1088 SNIPPET_RELEVANT b'1761802'
ACTION DOC 10000 1108 EXAMINING_DOCUMENT b'1761802'
ACTION SNIPPET 10000 1111 SNIPPET_NOT_RELEVANT b'1556621'
ACTION SNIPPET 10000 1114 SNIPPET_RELEVANT b'1492430'
ACTION DOC 10000 1134 EXAMINING_DOCUMENT b'1492430'
ACTION SNIPPET 10000 1137 SNIPPET_NOT_RELEVANT b'1751685'
ACTION QUERY 10000 1147 Media harassment
ACTION SERP 10000 1152 EXAMINE_SERP
ACTION SNIPPET 10000 1155 SNIPPET_NOT_RELEVANT b'685319'
ACTION SNIPPET 10000 1158 SNIPPET_NOT_RELEVANT b'248742'
ACTION SNIPPET 10000 1161 SNIPPET_NOT_RELEVANT b'705543'
ACTION SNIPPET 10000 1164 SNIPPET_NOT_RELEVANT b'836477'
ACTION SNIPPET 10000 1167 SNIPPET_NOT_RELEVANT b'516145'
ACTION SNIPPET 10000 1170 SNIPPET_RELEVANT b'1043689'
