ACTION QUERY 10000 10 oceanographic vessels
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'660630'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'660630'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'660630'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'89039'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'89039'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'89039'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'382324'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'382324'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'382324'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'24141'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'24141'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'24141'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'529662'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'529662'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'529662'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'219569'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'219569'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'219569'
ACTION SNIPPET 10000 174 SNIPPET_NOT_RELEVANT b'1564015'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'171292'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'171292'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'171292'
ACTION SNIPPET 10000 203 SNIPPET_NOT_RELEVANT b'1426960'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'779635'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'779635'
ACTION MARK 10000 229 CONSIDERED_RELEVANT b'779635'
ACTION SNIPPET 10000 232 SNIPPET_RELEVANT b'822258'
ACTION DOC 10000 252 EXAMINING_DOCUMENT b'822258'
ACTION MARK 10000 255 CONSIDERED_RELEVANT b'822258'
ACTION SNIPPET 10000 258 SNIPPET_NOT_RELEVANT b'137558'
ACTION SNIPPET 10000 261 SNIPPET_RELEVANT b'632244'
ACTION DOC 10000 281 EXAMINING_DOCUMENT b'632244'
ACTION MARK 10000 284 CONSIDERED_RELEVANT b'632244'
ACTION SNIPPET 10000 287 SNIPPET_RELEVANT b'1761722'
ACTION DOC 10000 307 EXAMINING_DOCUMENT b'1761722'
ACTION MARK 10000 310 CONSIDERED_RELEVANT b'1761722'
ACTION SNIPPET 10000 313 SNIPPET_RELEVANT b'1849886'
ACTION DOC 10000 333 EXAMINING_DOCUMENT b'1849886'
ACTION MARK 10000 336 CONSIDERED_RELEVANT b'1849886'
ACTION SNIPPET 10000 339 SNIPPET_RELEVANT b'1490050'
ACTION DOC 10000 359 EXAMINING_DOCUMENT b'1490050'
ACTION MARK 10000 362 CONSIDERED_RELEVANT b'1490050'
ACTION SNIPPET 10000 365 SNIPPET_RELEVANT b'220667'
ACTION DOC 10000 385 EXAMINING_DOCUMENT b'220667'
ACTION MARK 10000 388 CONSIDERED_RELEVANT b'220667'
ACTION SNIPPET 10000 391 SNIPPET_RELEVANT b'708056'
ACTION DOC 10000 411 EXAMINING_DOCUMENT b'708056'
ACTION MARK 10000 414 CONSIDERED_RELEVANT b'708056'
ACTION SNIPPET 10000 417 SNIPPET_RELEVANT b'167187'
ACTION DOC 10000 437 EXAMINING_DOCUMENT b'167187'
ACTION MARK 10000 440 CONSIDERED_RELEVANT b'167187'
ACTION SNIPPET 10000 443 SNIPPET_NOT_RELEVANT b'1705267'
ACTION SNIPPET 10000 446 SNIPPET_NOT_RELEVANT b'344608'
ACTION SNIPPET 10000 449 SNIPPET_RELEVANT b'1792658'
ACTION DOC 10000 469 EXAMINING_DOCUMENT b'1792658'
ACTION MARK 10000 472 CONSIDERED_RELEVANT b'1792658'
ACTION SNIPPET 10000 475 SNIPPET_RELEVANT b'500145'
ACTION DOC 10000 495 EXAMINING_DOCUMENT b'500145'
ACTION MARK 10000 498 CONSIDERED_RELEVANT b'500145'
ACTION SNIPPET 10000 501 SNIPPET_RELEVANT b'572636'
ACTION DOC 10000 521 EXAMINING_DOCUMENT b'572636'
ACTION MARK 10000 524 CONSIDERED_RELEVANT b'572636'
ACTION SNIPPET 10000 527 SNIPPET_NOT_RELEVANT b'550328'
ACTION SNIPPET 10000 530 SNIPPET_NOT_RELEVANT b'313524'
ACTION SNIPPET 10000 533 SNIPPET_RELEVANT b'1725332'
ACTION DOC 10000 553 EXAMINING_DOCUMENT b'1725332'
