ACTION QUERY 10000 10 Cult Lifestyles
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'624863'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'624863'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'624863'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1186564'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1186564'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1186564'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1757752'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1757752'
ACTION SNIPPET 10000 93 SNIPPET_RELEVANT b'1209320'
ACTION DOC 10000 113 EXAMINING_DOCUMENT b'1209320'
ACTION SNIPPET 10000 116 SNIPPET_RELEVANT b'1187217'
ACTION DOC 10000 136 EXAMINING_DOCUMENT b'1187217'
ACTION MARK 10000 139 CONSIDERED_RELEVANT b'1187217'
ACTION SNIPPET 10000 142 SNIPPET_RELEVANT b'1262473'
ACTION DOC 10000 162 EXAMINING_DOCUMENT b'1262473'
ACTION SNIPPET 10000 165 SNIPPET_NOT_RELEVANT b'1634148'
ACTION SNIPPET 10000 168 SNIPPET_RELEVANT b'1176601'
ACTION DOC 10000 188 EXAMINING_DOCUMENT b'1176601'
ACTION MARK 10000 191 CONSIDERED_RELEVANT b'1176601'
ACTION SNIPPET 10000 194 SNIPPET_RELEVANT b'1710222'
ACTION DOC 10000 214 EXAMINING_DOCUMENT b'1710222'
ACTION SNIPPET 10000 217 SNIPPET_RELEVANT b'1216045'
ACTION DOC 10000 237 EXAMINING_DOCUMENT b'1216045'
ACTION SNIPPET 10000 240 SNIPPET_RELEVANT b'1820132'
ACTION DOC 10000 260 EXAMINING_DOCUMENT b'1820132'
ACTION QUERY 10000 270 Heaven's Gate cult
ACTION SERP 10000 275 EXAMINE_SERP
ACTION SNIPPET 10000 278 SNIPPET_RELEVANT b'923384'
ACTION DOC 10000 298 EXAMINING_DOCUMENT b'923384'
ACTION MARK 10000 301 CONSIDERED_RELEVANT b'923384'
ACTION SNIPPET 10000 304 SNIPPET_RELEVANT b'924605'
ACTION DOC 10000 324 EXAMINING_DOCUMENT b'924605'
ACTION MARK 10000 327 CONSIDERED_RELEVANT b'924605'
ACTION SNIPPET 10000 330 SNIPPET_RELEVANT b'966096'
ACTION DOC 10000 350 EXAMINING_DOCUMENT b'966096'
ACTION MARK 10000 353 CONSIDERED_RELEVANT b'966096'
ACTION SNIPPET 10000 356 SNIPPET_RELEVANT b'920564'
ACTION DOC 10000 376 EXAMINING_DOCUMENT b'920564'
ACTION MARK 10000 379 CONSIDERED_RELEVANT b'920564'
ACTION SNIPPET 10000 382 SNIPPET_RELEVANT b'919493'
ACTION DOC 10000 402 EXAMINING_DOCUMENT b'919493'
ACTION MARK 10000 405 CONSIDERED_RELEVANT b'919493'
ACTION SNIPPET 10000 408 SNIPPET_NOT_RELEVANT b'920561'
ACTION SNIPPET 10000 411 SNIPPET_NOT_RELEVANT b'919916'
ACTION SNIPPET 10000 414 SNIPPET_RELEVANT b'919524'
ACTION DOC 10000 434 EXAMINING_DOCUMENT b'919524'
ACTION MARK 10000 437 CONSIDERED_RELEVANT b'919524'
ACTION SNIPPET 10000 440 SNIPPET_RELEVANT b'919717'
ACTION DOC 10000 460 EXAMINING_DOCUMENT b'919717'
ACTION MARK 10000 463 CONSIDERED_RELEVANT b'919717'
ACTION SNIPPET 10000 466 SNIPPET_RELEVANT b'920343'
ACTION DOC 10000 486 EXAMINING_DOCUMENT b'920343'
ACTION MARK 10000 489 CONSIDERED_RELEVANT b'920343'
ACTION SNIPPET 10000 492 SNIPPET_RELEVANT b'919527'
ACTION DOC 10000 512 EXAMINING_DOCUMENT b'919527'
ACTION MARK 10000 515 CONSIDERED_RELEVANT b'919527'
ACTION SNIPPET 10000 518 SNIPPET_RELEVANT b'920563'
ACTION DOC 10000 538 EXAMINING_DOCUMENT b'920563'
ACTION MARK 10000 541 CONSIDERED_RELEVANT b'920563'
ACTION SNIPPET 10000 544 SNIPPET_RELEVANT b'919905'
ACTION DOC 10000 564 EXAMINING_DOCUMENT b'919905'
ACTION MARK 10000 567 CONSIDERED_RELEVANT b'919905'
ACTION SNIPPET 10000 570 SNIPPET_RELEVANT b'920560'
ACTION DOC 10000 590 EXAMINING_DOCUMENT b'920560'
ACTION SNIPPET 10000 593 SNIPPET_RELEVANT b'919358'
ACTION DOC 10000 613 EXAMINING_DOCUMENT b'919358'
ACTION MARK 10000 616 CONSIDERED_RELEVANT b'919358'
ACTION SNIPPET 10000 619 SNIPPET_RELEVANT b'919922'
ACTION DOC 10000 639 EXAMINING_DOCUMENT b'919922'
ACTION MARK 10000 642 CONSIDERED_RELEVANT b'919922'
ACTION SNIPPET 10000 645 SNIPPET_RELEVANT b'960803'
ACTION DOC 10000 665 EXAMINING_DOCUMENT b'960803'
ACTION MARK 10000 668 CONSIDERED_RELEVANT b'960803'
ACTION SNIPPET 10000 671 SNIPPET_RELEVANT b'919729'
ACTION DOC 10000 691 EXAMINING_DOCUMENT b'919729'
ACTION SNIPPET 10000 694 SNIPPET_NOT_RELEVANT b'919725'
ACTION SNIPPET 10000 697 SNIPPET_RELEVANT b'919526'
ACTION DOC 10000 717 EXAMINING_DOCUMENT b'919526'
ACTION SNIPPET 10000 720 SNIPPET_NOT_RELEVANT b'919929'
ACTION QUERY 10000 730 Scientology
ACTION SERP 10000 735 EXAMINE_SERP
ACTION SNIPPET 10000 738 SNIPPET_NOT_RELEVANT b'995107'
ACTION SNIPPET 10000 741 SNIPPET_NOT_RELEVANT b'916014'
ACTION SNIPPET 10000 744 SNIPPET_RELEVANT b'1198517'
ACTION DOC 10000 764 EXAMINING_DOCUMENT b'1198517'
