ACTION QUERY 10000 10 home schooling
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'391930'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'391930'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'391930'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'391931'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'391931'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'391931'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1635819'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1635819'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1635819'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1202009'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1202009'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1202009'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1058364'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1058364'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1058364'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'403043'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'403043'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'403043'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'790384'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'790384'
ACTION MARK 10000 197 CONSIDERED_RELEVANT b'790384'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'1057737'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'1057737'
ACTION MARK 10000 223 CONSIDERED_RELEVANT b'1057737'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'1210150'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'1210150'
ACTION MARK 10000 249 CONSIDERED_RELEVANT b'1210150'
ACTION SNIPPET 10000 252 SNIPPET_RELEVANT b'1356232'
ACTION DOC 10000 272 EXAMINING_DOCUMENT b'1356232'
ACTION MARK 10000 275 CONSIDERED_RELEVANT b'1356232'
ACTION QUERY 10000 285 Homeschooling benefits
ACTION SERP 10000 290 EXAMINE_SERP
ACTION SNIPPET 10000 293 SEEN_PREVIOUSLY b'1057737'
ACTION SNIPPET 10000 296 SNIPPET_RELEVANT b'1057716'
ACTION DOC 10000 316 EXAMINING_DOCUMENT b'1057716'
ACTION MARK 10000 319 CONSIDERED_RELEVANT b'1057716'
ACTION SNIPPET 10000 322 SNIPPET_RELEVANT b'1766937'
ACTION DOC 10000 342 EXAMINING_DOCUMENT b'1766937'
ACTION MARK 10000 345 CONSIDERED_RELEVANT b'1766937'
ACTION SNIPPET 10000 348 SEEN_PREVIOUSLY b'403043'
ACTION SNIPPET 10000 351 SNIPPET_RELEVANT b'309639'
ACTION DOC 10000 371 EXAMINING_DOCUMENT b'309639'
ACTION MARK 10000 374 CONSIDERED_RELEVANT b'309639'
ACTION SNIPPET 10000 377 SNIPPET_RELEVANT b'1203538'
ACTION DOC 10000 397 EXAMINING_DOCUMENT b'1203538'
ACTION MARK 10000 400 CONSIDERED_RELEVANT b'1203538'
ACTION SNIPPET 10000 403 SNIPPET_RELEVANT b'1630458'
ACTION DOC 10000 423 EXAMINING_DOCUMENT b'1630458'
ACTION MARK 10000 426 CONSIDERED_RELEVANT b'1630458'
ACTION SNIPPET 10000 429 SNIPPET_RELEVANT b'1534317'
ACTION DOC 10000 449 EXAMINING_DOCUMENT b'1534317'
ACTION MARK 10000 452 CONSIDERED_RELEVANT b'1534317'
ACTION SNIPPET 10000 455 SNIPPET_RELEVANT b'579846'
ACTION DOC 10000 475 EXAMINING_DOCUMENT b'579846'
ACTION MARK 10000 478 CONSIDERED_RELEVANT b'579846'
ACTION SNIPPET 10000 481 SNIPPET_NOT_RELEVANT b'1004118'
ACTION QUERY 10000 491 Homeschooling supplies
ACTION SERP 10000 496 EXAMINE_SERP
ACTION SNIPPET 10000 499 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 502 SNIPPET_NOT_RELEVANT b'770793'
ACTION SNIPPET 10000 505 SNIPPET_NOT_RELEVANT b'803876'
ACTION SNIPPET 10000 508 SNIPPET_NOT_RELEVANT b'803686'
ACTION SNIPPET 10000 511 SEEN_PREVIOUSLY b'1534317'
ACTION SNIPPET 10000 514 SEEN_PREVIOUSLY b'403043'
ACTION SNIPPET 10000 517 SEEN_PREVIOUSLY b'1057737'
ACTION SNIPPET 10000 520 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 523 SEEN_PREVIOUSLY b'1630458'
ACTION SNIPPET 10000 526 SEEN_PREVIOUSLY b'1766937'
ACTION QUERY 10000 536 Homeschool curriculum
ACTION SERP 10000 541 EXAMINE_SERP
ACTION SNIPPET 10000 544 SEEN_PREVIOUSLY b'1534317'
ACTION SNIPPET 10000 547 SEEN_PREVIOUSLY b'403043'
ACTION SNIPPET 10000 550 SEEN_PREVIOUSLY b'1057737'
ACTION SNIPPET 10000 553 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 556 SNIPPET_RELEVANT b'1283837'
ACTION DOC 10000 576 EXAMINING_DOCUMENT b'1283837'
ACTION MARK 10000 579 CONSIDERED_RELEVANT b'1283837'
ACTION SNIPPET 10000 582 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 585 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 588 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 591 SNIPPET_RELEVANT b'367862'
ACTION DOC 10000 611 EXAMINING_DOCUMENT b'367862'
ACTION SNIPPET 10000 614 SNIPPET_NOT_RELEVANT b'1279561'
ACTION QUERY 10000 624 Homeschool lesson plans
ACTION SERP 10000 629 EXAMINE_SERP
ACTION SNIPPET 10000 632 SEEN_PREVIOUSLY b'1057737'
ACTION SNIPPET 10000 635 SEEN_PREVIOUSLY b'403043'
ACTION SNIPPET 10000 638 SEEN_PREVIOUSLY b'579846'
ACTION SNIPPET 10000 641 SNIPPET_RELEVANT b'1132287'
ACTION DOC 10000 661 EXAMINING_DOCUMENT b'1132287'
ACTION SNIPPET 10000 664 SEEN_PREVIOUSLY b'1766937'
ACTION SNIPPET 10000 667 SEEN_PREVIOUSLY b'1534317'
ACTION SNIPPET 10000 670 SNIPPET_RELEVANT b'408271'
ACTION DOC 10000 690 EXAMINING_DOCUMENT b'408271'
ACTION SNIPPET 10000 693 SNIPPET_RELEVANT b'1266276'
ACTION DOC 10000 713 EXAMINING_DOCUMENT b'1266276'
ACTION MARK 10000 716 CONSIDERED_RELEVANT b'1266276'
ACTION SNIPPET 10000 719 SNIPPET_NOT_RELEVANT b'1419888'
ACTION SNIPPET 10000 722 SEEN_PREVIOUSLY b'309639'
ACTION QUERY 10000 732 Homeschooling resources
ACTION SERP 10000 737 EXAMINE_SERP
ACTION SNIPPET 10000 740 SEEN_PREVIOUSLY b'1283837'
ACTION SNIPPET 10000 743 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 746 SEEN_PREVIOUSLY b'1534317'
ACTION SNIPPET 10000 749 SEEN_PREVIOUSLY b'403043'
ACTION SNIPPET 10000 752 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 755 SNIPPET_RELEVANT b'1696258'
ACTION DOC 10000 775 EXAMINING_DOCUMENT b'1696258'
ACTION MARK 10000 778 CONSIDERED_RELEVANT b'1696258'
ACTION SNIPPET 10000 781 SEEN_PREVIOUSLY b'1630458'
ACTION SNIPPET 10000 784 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 787 SEEN_PREVIOUSLY b'1266276'
ACTION SNIPPET 10000 790 SNIPPET_NOT_RELEVANT b'1004118'
ACTION QUERY 10000 800 Homeschooling online
ACTION SERP 10000 805 EXAMINE_SERP
ACTION SNIPPET 10000 808 SEEN_PREVIOUSLY b'1057716'
ACTION SNIPPET 10000 811 SEEN_PREVIOUSLY b'309639'
ACTION SNIPPET 10000 814 SEEN_PREVIOUSLY b'1534317'
ACTION SNIPPET 10000 817 SEEN_PREVIOUSLY b'1203538'
ACTION SNIPPET 10000 820 SNIPPET_RELEVANT b'1764140'
