ACTION QUERY 10000 10 oceanographic vessels
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'660630'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'660630'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'660630'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'89039'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'89039'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'89039'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'382324'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'382324'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'382324'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'24141'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'24141'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'24141'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'529662'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'529662'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'529662'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'219569'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'219569'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'219569'
ACTION SNIPPET 10000 174 SNIPPET_NOT_RELEVANT b'1564015'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'171292'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'171292'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'171292'
ACTION SNIPPET 10000 203 SNIPPET_RELEVANT b'1426960'
ACTION DOC 10000 223 EXAMINING_DOCUMENT b'1426960'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'779635'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'779635'
ACTION MARK 10000 249 CONSIDERED_RELEVANT b'779635'
ACTION SNIPPET 10000 252 SNIPPET_RELEVANT b'822258'
ACTION DOC 10000 272 EXAMINING_DOCUMENT b'822258'
ACTION MARK 10000 275 CONSIDERED_RELEVANT b'822258'
ACTION SNIPPET 10000 278 SNIPPET_RELEVANT b'137558'
ACTION DOC 10000 298 EXAMINING_DOCUMENT b'137558'
ACTION SNIPPET 10000 301 SNIPPET_RELEVANT b'632244'
ACTION DOC 10000 321 EXAMINING_DOCUMENT b'632244'
ACTION MARK 10000 324 CONSIDERED_RELEVANT b'632244'
ACTION SNIPPET 10000 327 SNIPPET_RELEVANT b'1761722'
ACTION DOC 10000 347 EXAMINING_DOCUMENT b'1761722'
ACTION MARK 10000 350 CONSIDERED_RELEVANT b'1761722'
ACTION SNIPPET 10000 353 SNIPPET_RELEVANT b'1849886'
ACTION DOC 10000 373 EXAMINING_DOCUMENT b'1849886'
ACTION MARK 10000 376 CONSIDERED_RELEVANT b'1849886'
ACTION SNIPPET 10000 379 SNIPPET_RELEVANT b'1490050'
ACTION DOC 10000 399 EXAMINING_DOCUMENT b'1490050'
ACTION MARK 10000 402 CONSIDERED_RELEVANT b'1490050'
ACTION SNIPPET 10000 405 SNIPPET_RELEVANT b'220667'
ACTION DOC 10000 425 EXAMINING_DOCUMENT b'220667'
ACTION MARK 10000 428 CONSIDERED_RELEVANT b'220667'
ACTION SNIPPET 10000 431 SNIPPET_NOT_RELEVANT b'708056'
ACTION SNIPPET 10000 434 SNIPPET_RELEVANT b'167187'
ACTION DOC 10000 454 EXAMINING_DOCUMENT b'167187'
ACTION MARK 10000 457 CONSIDERED_RELEVANT b'167187'
ACTION SNIPPET 10000 460 SNIPPET_NOT_RELEVANT b'1705267'
ACTION SNIPPET 10000 463 SNIPPET_NOT_RELEVANT b'344608'
ACTION SNIPPET 10000 466 SNIPPET_RELEVANT b'1792658'
ACTION DOC 10000 486 EXAMINING_DOCUMENT b'1792658'
ACTION MARK 10000 489 CONSIDERED_RELEVANT b'1792658'
ACTION SNIPPET 10000 492 SNIPPET_RELEVANT b'500145'
ACTION DOC 10000 512 EXAMINING_DOCUMENT b'500145'
ACTION MARK 10000 515 CONSIDERED_RELEVANT b'500145'
ACTION SNIPPET 10000 518 SNIPPET_RELEVANT b'572636'
ACTION DOC 10000 538 EXAMINING_DOCUMENT b'572636'
ACTION MARK 10000 541 CONSIDERED_RELEVANT b'572636'
ACTION SNIPPET 10000 544 SNIPPET_RELEVANT b'550328'
ACTION DOC 10000 564 EXAMINING_DOCUMENT b'550328'
ACTION SNIPPET 10000 567 SNIPPET_RELEVANT b'313524'
ACTION DOC 10000 587 EXAMINING_DOCUMENT b'313524'
