ACTION QUERY 10000 10 journalist risks
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1369972'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1369972'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1369972'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'735868'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'735868'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'735868'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'344024'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'344024'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'344024'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'728912'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'728912'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'728912'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1344903'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1344903'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1344903'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1547678'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1547678'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'1547678'
ACTION SNIPPET 10000 174 SNIPPET_NOT_RELEVANT b'796596'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'796745'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'796745'
ACTION SNIPPET 10000 200 SNIPPET_RELEVANT b'1605593'
ACTION DOC 10000 220 EXAMINING_DOCUMENT b'1605593'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'1477141'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'1477141'
ACTION MARK 10000 246 CONSIDERED_RELEVANT b'1477141'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'1544859'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'1544859'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'1544859'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'1316689'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'1316689'
ACTION MARK 10000 298 CONSIDERED_RELEVANT b'1316689'
ACTION SNIPPET 10000 301 SNIPPET_RELEVANT b'428795'
ACTION DOC 10000 321 EXAMINING_DOCUMENT b'428795'
ACTION MARK 10000 324 CONSIDERED_RELEVANT b'428795'
ACTION SNIPPET 10000 327 SNIPPET_RELEVANT b'1831146'
ACTION DOC 10000 347 EXAMINING_DOCUMENT b'1831146'
ACTION MARK 10000 350 CONSIDERED_RELEVANT b'1831146'
ACTION SNIPPET 10000 353 SNIPPET_RELEVANT b'1369835'
ACTION DOC 10000 373 EXAMINING_DOCUMENT b'1369835'
ACTION MARK 10000 376 CONSIDERED_RELEVANT b'1369835'
ACTION SNIPPET 10000 379 SNIPPET_RELEVANT b'558865'
ACTION DOC 10000 399 EXAMINING_DOCUMENT b'558865'
ACTION SNIPPET 10000 402 SNIPPET_RELEVANT b'1765476'
ACTION DOC 10000 422 EXAMINING_DOCUMENT b'1765476'
ACTION MARK 10000 425 CONSIDERED_RELEVANT b'1765476'
ACTION SNIPPET 10000 428 SNIPPET_NOT_RELEVANT b'1401994'
ACTION SNIPPET 10000 431 SNIPPET_RELEVANT b'9862'
ACTION DOC 10000 451 EXAMINING_DOCUMENT b'9862'
ACTION MARK 10000 454 CONSIDERED_RELEVANT b'9862'
ACTION SNIPPET 10000 457 SNIPPET_RELEVANT b'561161'
ACTION DOC 10000 477 EXAMINING_DOCUMENT b'561161'
ACTION MARK 10000 480 CONSIDERED_RELEVANT b'561161'
ACTION SNIPPET 10000 483 SNIPPET_NOT_RELEVANT b'38006'
ACTION SNIPPET 10000 486 SNIPPET_NOT_RELEVANT b'1467740'
ACTION SNIPPET 10000 489 SNIPPET_RELEVANT b'751437'
ACTION DOC 10000 509 EXAMINING_DOCUMENT b'751437'
ACTION SNIPPET 10000 512 SNIPPET_NOT_RELEVANT b'67091'
ACTION SNIPPET 10000 515 SNIPPET_RELEVANT b'1475135'
ACTION DOC 10000 535 EXAMINING_DOCUMENT b'1475135'
ACTION QUERY 10000 545 Journalist safety
ACTION SERP 10000 550 EXAMINE_SERP
ACTION SNIPPET 10000 553 SNIPPET_RELEVANT b'1544150'
ACTION DOC 10000 573 EXAMINING_DOCUMENT b'1544150'
ACTION MARK 10000 576 CONSIDERED_RELEVANT b'1544150'
ACTION SNIPPET 10000 579 SNIPPET_RELEVANT b'765922'
ACTION DOC 10000 599 EXAMINING_DOCUMENT b'765922'
ACTION MARK 10000 602 CONSIDERED_RELEVANT b'765922'
ACTION SNIPPET 10000 605 SNIPPET_NOT_RELEVANT b'1498126'
ACTION SNIPPET 10000 608 SNIPPET_RELEVANT b'428295'
ACTION DOC 10000 628 EXAMINING_DOCUMENT b'428295'
ACTION SNIPPET 10000 631 SNIPPET_NOT_RELEVANT b'1032986'
ACTION SNIPPET 10000 634 SEEN_PREVIOUSLY b'1831146'
ACTION SNIPPET 10000 637 SNIPPET_RELEVANT b'1285501'
ACTION DOC 10000 657 EXAMINING_DOCUMENT b'1285501'
ACTION QUERY 10000 667 Media safety
ACTION SERP 10000 672 EXAMINE_SERP
ACTION SNIPPET 10000 675 SNIPPET_NOT_RELEVANT b'109095'
ACTION SNIPPET 10000 678 SNIPPET_NOT_RELEVANT b'990683'
ACTION SNIPPET 10000 681 SNIPPET_NOT_RELEVANT b'385668'
ACTION SNIPPET 10000 684 SNIPPET_RELEVANT b'346463'
ACTION DOC 10000 704 EXAMINING_DOCUMENT b'346463'
ACTION SNIPPET 10000 707 SNIPPET_RELEVANT b'112519'
