ACTION QUERY 10000 10 tropical storms
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'0597382337900b512fb81289f4945086'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'6d5003ac06e5b8a21b2f037ab813d185'
ACTION SNIPPET 10000 24 SNIPPET_NOT_RELEVANT b'5ac05a47d8abaa5e37cc2afcfa37d79b'
ACTION SNIPPET 10000 27 SNIPPET_NOT_RELEVANT b'39f9943059e04e22c566fb79ef66caf1'
ACTION SNIPPET 10000 30 SNIPPET_NOT_RELEVANT b'ba7f25b96d6af9ad332a75bad904d61b'
ACTION SNIPPET 10000 33 SNIPPET_NOT_RELEVANT b'9aa66a51340e2c12ced01956ee598541'
ACTION SNIPPET 10000 36 SNIPPET_NOT_RELEVANT b'b198caef4f05cca654efd3580f75db13'
ACTION SNIPPET 10000 39 SNIPPET_NOT_RELEVANT b'7e0a15ee7200aecc36250b4b2a06e48d'
ACTION SNIPPET 10000 42 SNIPPET_NOT_RELEVANT b'1babd24b0730f0d9335adc0aea7354ff'
ACTION SNIPPET 10000 45 SNIPPET_NOT_RELEVANT b'265273f827e85d69dacd16364912044a'
ACTION SNIPPET 10000 48 SNIPPET_NOT_RELEVANT b'f6ef341a52487b212572514ef8994151'
ACTION SNIPPET 10000 51 SNIPPET_NOT_RELEVANT b'697d6896864ad05cabe14c6bd5938f94'
ACTION SNIPPET 10000 54 SNIPPET_NOT_RELEVANT b'4cb7f56e9573ec29d01d103f6b3bd740'
ACTION SNIPPET 10000 57 SNIPPET_NOT_RELEVANT b'55f2d85612054c3a7d91ce3e0e502692'
ACTION SNIPPET 10000 60 SNIPPET_NOT_RELEVANT b'6336e551f1d4b67e8b5ffd7a4336177d'
ACTION SNIPPET 10000 63 SNIPPET_NOT_RELEVANT b'a7d2640aee77e0ca594d1c5578a549d0'
ACTION SNIPPET 10000 66 SNIPPET_NOT_RELEVANT b'a93c6f8d398aa0b8053cc01420737e2e'
ACTION SNIPPET 10000 69 SNIPPET_NOT_RELEVANT b'fbf85b6e5924ea7fbe4c4ac9aad82cdb'
ACTION SNIPPET 10000 72 SNIPPET_NOT_RELEVANT b'90e9f10c272e9fdb819530ec3a54a78e'
ACTION SNIPPET 10000 75 SNIPPET_NOT_RELEVANT b'2f8a82f2c1865dbd4613d23025d2759e'
ACTION SNIPPET 10000 78 SNIPPET_RELEVANT b'2f0477f29f6350168f8f04922f870747'
ACTION DOC 10000 98 EXAMINING_DOCUMENT b'2f0477f29f6350168f8f04922f870747'
ACTION MARK 10000 101 CONSIDERED_RELEVANT b'2f0477f29f6350168f8f04922f870747'
ACTION SNIPPET 10000 104 SNIPPET_NOT_RELEVANT b'a79aa5f72a0c6a51d93325dbf0fefbcc'
ACTION SNIPPET 10000 107 SNIPPET_RELEVANT b'2c775df46c306ad57b2dd8e6fa68f628'
ACTION DOC 10000 127 EXAMINING_DOCUMENT b'2c775df46c306ad57b2dd8e6fa68f628'
