ACTION QUERY 10000 10 hydrogen energy
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1843716'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1843716'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1843716'
ACTION SNIPPET 10000 44 SNIPPET_NOT_RELEVANT b'1742839'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'758337'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'758337'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1556630'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1556630'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1556630'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1534757'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1534757'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1534757'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1507525'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1507525'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1507525'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'755544'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'755544'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'755544'
ACTION SNIPPET 10000 174 SNIPPET_RELEVANT b'1497519'
ACTION DOC 10000 194 EXAMINING_DOCUMENT b'1497519'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'1843730'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'1843730'
ACTION MARK 10000 220 CONSIDERED_RELEVANT b'1843730'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'1630634'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'1630634'
ACTION MARK 10000 246 CONSIDERED_RELEVANT b'1630634'
ACTION SNIPPET 10000 249 SNIPPET_RELEVANT b'1461542'
ACTION DOC 10000 269 EXAMINING_DOCUMENT b'1461542'
ACTION MARK 10000 272 CONSIDERED_RELEVANT b'1461542'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'1470357'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'1470357'
ACTION MARK 10000 298 CONSIDERED_RELEVANT b'1470357'
ACTION SNIPPET 10000 301 SNIPPET_RELEVANT b'379451'
ACTION DOC 10000 321 EXAMINING_DOCUMENT b'379451'
ACTION MARK 10000 324 CONSIDERED_RELEVANT b'379451'
ACTION SNIPPET 10000 327 SNIPPET_RELEVANT b'296707'
ACTION DOC 10000 347 EXAMINING_DOCUMENT b'296707'
ACTION MARK 10000 350 CONSIDERED_RELEVANT b'296707'
ACTION SNIPPET 10000 353 SNIPPET_RELEVANT b'148627'
ACTION DOC 10000 373 EXAMINING_DOCUMENT b'148627'
ACTION MARK 10000 376 CONSIDERED_RELEVANT b'148627'
ACTION SNIPPET 10000 379 SNIPPET_RELEVANT b'756936'
ACTION DOC 10000 399 EXAMINING_DOCUMENT b'756936'
ACTION SNIPPET 10000 402 SNIPPET_NOT_RELEVANT b'1848545'
ACTION SNIPPET 10000 405 SNIPPET_NOT_RELEVANT b'286579'
ACTION SNIPPET 10000 408 SNIPPET_NOT_RELEVANT b'1497518'
ACTION SNIPPET 10000 411 SNIPPET_NOT_RELEVANT b'69938'
ACTION SNIPPET 10000 414 SNIPPET_NOT_RELEVANT b'1432263'
ACTION SNIPPET 10000 417 SNIPPET_NOT_RELEVANT b'478414'
ACTION SNIPPET 10000 420 SNIPPET_RELEVANT b'1462427'
ACTION DOC 10000 440 EXAMINING_DOCUMENT b'1462427'
ACTION MARK 10000 443 CONSIDERED_RELEVANT b'1462427'
