ACTION QUERY 10000 10 railway accidents
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'317296'
ACTION SNIPPET 10000 21 SNIPPET_RELEVANT b'98010'
ACTION DOC 10000 41 EXAMINING_DOCUMENT b'98010'
ACTION MARK 10000 44 CONSIDERED_RELEVANT b'98010'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'214578'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'214578'
ACTION MARK 10000 70 CONSIDERED_RELEVANT b'214578'
ACTION SNIPPET 10000 73 SNIPPET_RELEVANT b'112888'
ACTION DOC 10000 93 EXAMINING_DOCUMENT b'112888'
ACTION MARK 10000 96 CONSIDERED_RELEVANT b'112888'
ACTION SNIPPET 10000 99 SNIPPET_NOT_RELEVANT b'1403372'
ACTION SNIPPET 10000 102 SNIPPET_RELEVANT b'1048102'
ACTION DOC 10000 122 EXAMINING_DOCUMENT b'1048102'
ACTION MARK 10000 125 CONSIDERED_RELEVANT b'1048102'
ACTION SNIPPET 10000 128 SNIPPET_RELEVANT b'1022091'
ACTION DOC 10000 148 EXAMINING_DOCUMENT b'1022091'
ACTION MARK 10000 151 CONSIDERED_RELEVANT b'1022091'
ACTION SNIPPET 10000 154 SNIPPET_RELEVANT b'784019'
ACTION DOC 10000 174 EXAMINING_DOCUMENT b'784019'
ACTION MARK 10000 177 CONSIDERED_RELEVANT b'784019'
ACTION SNIPPET 10000 180 SNIPPET_RELEVANT b'1667781'
ACTION DOC 10000 200 EXAMINING_DOCUMENT b'1667781'
ACTION MARK 10000 203 CONSIDERED_RELEVANT b'1667781'
ACTION SNIPPET 10000 206 SNIPPET_RELEVANT b'1403609'
ACTION DOC 10000 226 EXAMINING_DOCUMENT b'1403609'
ACTION MARK 10000 229 CONSIDERED_RELEVANT b'1403609'
ACTION SNIPPET 10000 232 SNIPPET_RELEVANT b'39908'
ACTION DOC 10000 252 EXAMINING_DOCUMENT b'39908'
ACTION SNIPPET 10000 255 SNIPPET_RELEVANT b'191795'
ACTION DOC 10000 275 EXAMINING_DOCUMENT b'191795'
ACTION SNIPPET 10000 278 SNIPPET_NOT_RELEVANT b'1598678'
ACTION SNIPPET 10000 281 SNIPPET_RELEVANT b'1127996'
ACTION DOC 10000 301 EXAMINING_DOCUMENT b'1127996'
ACTION MARK 10000 304 CONSIDERED_RELEVANT b'1127996'
ACTION SNIPPET 10000 307 SNIPPET_RELEVANT b'46187'
ACTION DOC 10000 327 EXAMINING_DOCUMENT b'46187'
ACTION MARK 10000 330 CONSIDERED_RELEVANT b'46187'
ACTION SNIPPET 10000 333 SNIPPET_RELEVANT b'14873'
ACTION DOC 10000 353 EXAMINING_DOCUMENT b'14873'
ACTION MARK 10000 356 CONSIDERED_RELEVANT b'14873'
ACTION SNIPPET 10000 359 SNIPPET_RELEVANT b'1687116'
ACTION DOC 10000 379 EXAMINING_DOCUMENT b'1687116'
ACTION MARK 10000 382 CONSIDERED_RELEVANT b'1687116'
ACTION SNIPPET 10000 385 SNIPPET_NOT_RELEVANT b'1360557'
ACTION SNIPPET 10000 388 SNIPPET_NOT_RELEVANT b'1373726'
ACTION SNIPPET 10000 391 SNIPPET_RELEVANT b'42499'
ACTION DOC 10000 411 EXAMINING_DOCUMENT b'42499'
ACTION MARK 10000 414 CONSIDERED_RELEVANT b'42499'
ACTION SNIPPET 10000 417 SNIPPET_NOT_RELEVANT b'1751955'
ACTION SNIPPET 10000 420 SNIPPET_NOT_RELEVANT b'48678'
ACTION SNIPPET 10000 423 SNIPPET_RELEVANT b'471885'
ACTION DOC 10000 443 EXAMINING_DOCUMENT b'471885'
ACTION MARK 10000 446 CONSIDERED_RELEVANT b'471885'
ACTION SNIPPET 10000 449 SNIPPET_RELEVANT b'172223'
ACTION DOC 10000 469 EXAMINING_DOCUMENT b'172223'
ACTION MARK 10000 472 CONSIDERED_RELEVANT b'172223'
ACTION SNIPPET 10000 475 SNIPPET_RELEVANT b'973603'
ACTION DOC 10000 495 EXAMINING_DOCUMENT b'973603'
ACTION MARK 10000 498 CONSIDERED_RELEVANT b'973603'
ACTION SNIPPET 10000 501 SNIPPET_RELEVANT b'1780662'
ACTION DOC 10000 521 EXAMINING_DOCUMENT b'1780662'
ACTION MARK 10000 524 CONSIDERED_RELEVANT b'1780662'
ACTION SNIPPET 10000 527 SNIPPET_RELEVANT b'1047557'
ACTION DOC 10000 547 EXAMINING_DOCUMENT b'1047557'
ACTION MARK 10000 550 CONSIDERED_RELEVANT b'1047557'
ACTION SNIPPET 10000 553 SNIPPET_NOT_RELEVANT b'965952'
ACTION SNIPPET 10000 556 SNIPPET_RELEVANT b'161660'
ACTION DOC 10000 576 EXAMINING_DOCUMENT b'161660'
ACTION SNIPPET 10000 579 SNIPPET_NOT_RELEVANT b'97796'
ACTION SNIPPET 10000 582 SNIPPET_RELEVANT b'958897'
ACTION DOC 10000 602 EXAMINING_DOCUMENT b'958897'
ACTION MARK 10000 605 CONSIDERED_RELEVANT b'958897'
ACTION SNIPPET 10000 608 SNIPPET_NOT_RELEVANT b'1565750'
ACTION SNIPPET 10000 611 SNIPPET_RELEVANT b'1275509'
ACTION DOC 10000 631 EXAMINING_DOCUMENT b'1275509'
ACTION MARK 10000 634 CONSIDERED_RELEVANT b'1275509'
ACTION SNIPPET 10000 637 SNIPPET_NOT_RELEVANT b'650393'
ACTION SNIPPET 10000 640 SNIPPET_RELEVANT b'1641342'
ACTION DOC 10000 660 EXAMINING_DOCUMENT b'1641342'
ACTION MARK 10000 663 CONSIDERED_RELEVANT b'1641342'
ACTION SNIPPET 10000 666 SNIPPET_RELEVANT b'1240001'
ACTION DOC 10000 686 EXAMINING_DOCUMENT b'1240001'
ACTION MARK 10000 689 CONSIDERED_RELEVANT b'1240001'
ACTION SNIPPET 10000 692 SNIPPET_NOT_RELEVANT b'640075'
ACTION SNIPPET 10000 695 SNIPPET_RELEVANT b'1668151'
ACTION DOC 10000 715 EXAMINING_DOCUMENT b'1668151'
