ACTION QUERY 10000 10 hydrogen energy
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'755544'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'755544'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'755544'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1534757'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1534757'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1534757'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1470357'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1470357'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1470357'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'756936'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'756936'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'296707'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'296707'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'296707'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'1843716'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'1843716'
ACTION MARK 10000 168 CONSIDERED_RELEVANT b'1843716'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'1461542'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'1461542'
ACTION MARK 10000 194 CONSIDERED_RELEVANT b'1461542'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'286579'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'286579'
ACTION MARK 10000 220 CONSIDERED_RELEVANT b'286579'
ACTION SNIPPET 10000 223 SNIPPET_RELEVANT b'1742839'
ACTION DOC 10000 243 EXAMINING_DOCUMENT b'1742839'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'758337'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'758337'
ACTION SNIPPET 10000 269 SNIPPET_RELEVANT b'1630634'
ACTION DOC 10000 289 EXAMINING_DOCUMENT b'1630634'
ACTION MARK 10000 292 CONSIDERED_RELEVANT b'1630634'
ACTION SNIPPET 10000 295 SNIPPET_RELEVANT b'148096'
ACTION DOC 10000 315 EXAMINING_DOCUMENT b'148096'
ACTION MARK 10000 318 CONSIDERED_RELEVANT b'148096'
ACTION SNIPPET 10000 321 SNIPPET_RELEVANT b'1843735'
ACTION DOC 10000 341 EXAMINING_DOCUMENT b'1843735'
ACTION MARK 10000 344 CONSIDERED_RELEVANT b'1843735'
ACTION SNIPPET 10000 347 SNIPPET_RELEVANT b'1507525'
ACTION DOC 10000 367 EXAMINING_DOCUMENT b'1507525'
ACTION MARK 10000 370 CONSIDERED_RELEVANT b'1507525'
ACTION SNIPPET 10000 373 SNIPPET_RELEVANT b'1843730'
ACTION DOC 10000 393 EXAMINING_DOCUMENT b'1843730'
ACTION MARK 10000 396 CONSIDERED_RELEVANT b'1843730'
ACTION SNIPPET 10000 399 SNIPPET_RELEVANT b'236405'
ACTION DOC 10000 419 EXAMINING_DOCUMENT b'236405'
ACTION SNIPPET 10000 422 SNIPPET_NOT_RELEVANT b'1113570'
ACTION SNIPPET 10000 425 SNIPPET_NOT_RELEVANT b'1704683'
ACTION SNIPPET 10000 428 SNIPPET_RELEVANT b'1677826'
ACTION DOC 10000 448 EXAMINING_DOCUMENT b'1677826'
ACTION MARK 10000 451 CONSIDERED_RELEVANT b'1677826'
ACTION SNIPPET 10000 454 SNIPPET_NOT_RELEVANT b'1497519'
ACTION SNIPPET 10000 457 SNIPPET_RELEVANT b'1629209'
ACTION DOC 10000 477 EXAMINING_DOCUMENT b'1629209'
ACTION MARK 10000 480 CONSIDERED_RELEVANT b'1629209'
ACTION SNIPPET 10000 483 SNIPPET_RELEVANT b'1556630'
ACTION DOC 10000 503 EXAMINING_DOCUMENT b'1556630'
ACTION MARK 10000 506 CONSIDERED_RELEVANT b'1556630'
ACTION SNIPPET 10000 509 SNIPPET_RELEVANT b'968730'
ACTION DOC 10000 529 EXAMINING_DOCUMENT b'968730'
ACTION SNIPPET 10000 532 SNIPPET_RELEVANT b'966840'
ACTION DOC 10000 552 EXAMINING_DOCUMENT b'966840'
ACTION MARK 10000 555 CONSIDERED_RELEVANT b'966840'
ACTION SNIPPET 10000 558 SNIPPET_RELEVANT b'1830395'
ACTION DOC 10000 578 EXAMINING_DOCUMENT b'1830395'
ACTION SNIPPET 10000 581 SNIPPET_RELEVANT b'1524982'
ACTION DOC 10000 601 EXAMINING_DOCUMENT b'1524982'
ACTION MARK 10000 604 CONSIDERED_RELEVANT b'1524982'
ACTION SNIPPET 10000 607 SNIPPET_RELEVANT b'931171'
ACTION DOC 10000 627 EXAMINING_DOCUMENT b'931171'
ACTION MARK 10000 630 CONSIDERED_RELEVANT b'931171'
ACTION SNIPPET 10000 633 SNIPPET_NOT_RELEVANT b'1467322'
ACTION SNIPPET 10000 636 SNIPPET_RELEVANT b'1479059'
ACTION DOC 10000 656 EXAMINING_DOCUMENT b'1479059'
