ACTION QUERY 10000 10 human stampede
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_NOT_RELEVANT b'1315825'
ACTION SNIPPET 10000 21 SNIPPET_NOT_RELEVANT b'1450252'
ACTION SNIPPET 10000 24 SNIPPET_RELEVANT b'818047'
ACTION DOC 10000 44 EXAMINING_DOCUMENT b'818047'
ACTION SNIPPET 10000 47 SNIPPET_RELEVANT b'492316'
ACTION DOC 10000 67 EXAMINING_DOCUMENT b'492316'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1698991'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1698991'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1698991'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'363729'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'363729'
ACTION SNIPPET 10000 119 SNIPPET_RELEVANT b'100763'
ACTION DOC 10000 139 EXAMINING_DOCUMENT b'100763'
ACTION MARK 10000 142 CONSIDERED_RELEVANT b'100763'
ACTION SNIPPET 10000 145 SNIPPET_RELEVANT b'423877'
ACTION DOC 10000 165 EXAMINING_DOCUMENT b'423877'
ACTION SNIPPET 10000 168 SNIPPET_RELEVANT b'1285941'
ACTION DOC 10000 188 EXAMINING_DOCUMENT b'1285941'
ACTION MARK 10000 191 CONSIDERED_RELEVANT b'1285941'
ACTION SNIPPET 10000 194 SNIPPET_RELEVANT b'1515218'
ACTION DOC 10000 214 EXAMINING_DOCUMENT b'1515218'
ACTION MARK 10000 217 CONSIDERED_RELEVANT b'1515218'
ACTION SNIPPET 10000 220 SNIPPET_RELEVANT b'127053'
ACTION DOC 10000 240 EXAMINING_DOCUMENT b'127053'
ACTION MARK 10000 243 CONSIDERED_RELEVANT b'127053'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'1789645'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'1789645'
ACTION MARK 10000 269 CONSIDERED_RELEVANT b'1789645'
ACTION SNIPPET 10000 272 SNIPPET_RELEVANT b'127391'
ACTION DOC 10000 292 EXAMINING_DOCUMENT b'127391'
ACTION MARK 10000 295 CONSIDERED_RELEVANT b'127391'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'1753507'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'1753507'
ACTION MARK 10000 321 CONSIDERED_RELEVANT b'1753507'
ACTION SNIPPET 10000 324 SNIPPET_NOT_RELEVANT b'1061863'
ACTION SNIPPET 10000 327 SNIPPET_RELEVANT b'808151'
ACTION DOC 10000 347 EXAMINING_DOCUMENT b'808151'
ACTION MARK 10000 350 CONSIDERED_RELEVANT b'808151'
ACTION SNIPPET 10000 353 SNIPPET_RELEVANT b'365725'
ACTION DOC 10000 373 EXAMINING_DOCUMENT b'365725'
ACTION MARK 10000 376 CONSIDERED_RELEVANT b'365725'
ACTION SNIPPET 10000 379 SNIPPET_NOT_RELEVANT b'79150'
ACTION SNIPPET 10000 382 SNIPPET_NOT_RELEVANT b'1466168'
ACTION SNIPPET 10000 385 SNIPPET_RELEVANT b'365604'
ACTION DOC 10000 405 EXAMINING_DOCUMENT b'365604'
ACTION MARK 10000 408 CONSIDERED_RELEVANT b'365604'
ACTION QUERY 10000 418 What causes a human stampede?
ACTION SERP 10000 423 EXAMINE_SERP
ACTION SNIPPET 10000 426 SEEN_PREVIOUSLY b'127391'
ACTION SNIPPET 10000 429 SEEN_PREVIOUSLY b'1753507'
ACTION SNIPPET 10000 432 SEEN_PREVIOUSLY b'365725'
ACTION SNIPPET 10000 435 SEEN_PREVIOUSLY b'1515218'
ACTION SNIPPET 10000 438 SEEN_PREVIOUSLY b'808151'
ACTION SNIPPET 10000 441 SNIPPET_NOT_RELEVANT b'328697'
ACTION SNIPPET 10000 444 SEEN_PREVIOUSLY b'1789645'
ACTION SNIPPET 10000 447 SNIPPET_NOT_RELEVANT b'278899'
ACTION SNIPPET 10000 450 SNIPPET_RELEVANT b'1467225'
ACTION DOC 10000 470 EXAMINING_DOCUMENT b'1467225'
ACTION MARK 10000 473 CONSIDERED_RELEVANT b'1467225'
ACTION SNIPPET 10000 476 SNIPPET_RELEVANT b'1522020'
ACTION DOC 10000 496 EXAMINING_DOCUMENT b'1522020'
ACTION MARK 10000 499 CONSIDERED_RELEVANT b'1522020'
ACTION SNIPPET 10000 502 SNIPPET_RELEVANT b'1315825'
ACTION DOC 10000 522 EXAMINING_DOCUMENT b'1315825'
ACTION SNIPPET 10000 525 SEEN_PREVIOUSLY b'365604'
ACTION SNIPPET 10000 528 SNIPPET_RELEVANT b'1450252'
ACTION DOC 10000 548 EXAMINING_DOCUMENT b'1450252'
ACTION SNIPPET 10000 551 SNIPPET_RELEVANT b'1199011'
ACTION DOC 10000 571 EXAMINING_DOCUMENT b'1199011'
ACTION SNIPPET 10000 574 SNIPPET_RELEVANT b'746477'
ACTION DOC 10000 594 EXAMINING_DOCUMENT b'746477'
ACTION MARK 10000 597 CONSIDERED_RELEVANT b'746477'
ACTION SNIPPET 10000 600 SNIPPET_RELEVANT b'459087'
ACTION DOC 10000 620 EXAMINING_DOCUMENT b'459087'
ACTION SNIPPET 10000 623 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 626 SEEN_PREVIOUSLY b'492316'
ACTION SNIPPET 10000 629 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 632 SNIPPET_NOT_RELEVANT b'1292328'
ACTION QUERY 10000 642 Prevention of human stampedes
ACTION SERP 10000 647 EXAMINE_SERP
ACTION SNIPPET 10000 650 SNIPPET_RELEVANT b'1475110'
ACTION DOC 10000 670 EXAMINING_DOCUMENT b'1475110'
ACTION MARK 10000 673 CONSIDERED_RELEVANT b'1475110'
ACTION SNIPPET 10000 676 SNIPPET_NOT_RELEVANT b'1698852'
ACTION SNIPPET 10000 679 SNIPPET_RELEVANT b'1731810'
ACTION DOC 10000 699 EXAMINING_DOCUMENT b'1731810'
ACTION MARK 10000 702 CONSIDERED_RELEVANT b'1731810'
ACTION SNIPPET 10000 705 SEEN_PREVIOUSLY b'1315825'
ACTION SNIPPET 10000 708 SEEN_PREVIOUSLY b'1450252'
ACTION SNIPPET 10000 711 SEEN_PREVIOUSLY b'1199011'
ACTION SNIPPET 10000 714 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 717 SEEN_PREVIOUSLY b'492316'
ACTION SNIPPET 10000 720 SNIPPET_NOT_RELEVANT b'1467342'
ACTION SNIPPET 10000 723 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 726 SEEN_PREVIOUSLY b'363729'
ACTION SNIPPET 10000 729 SEEN_PREVIOUSLY b'100763'
ACTION SNIPPET 10000 732 SNIPPET_RELEVANT b'868795'
ACTION DOC 10000 752 EXAMINING_DOCUMENT b'868795'
ACTION MARK 10000 755 CONSIDERED_RELEVANT b'868795'
ACTION SNIPPET 10000 758 SNIPPET_RELEVANT b'1465986'
ACTION DOC 10000 778 EXAMINING_DOCUMENT b'1465986'
ACTION MARK 10000 781 CONSIDERED_RELEVANT b'1465986'
ACTION SNIPPET 10000 784 SEEN_PREVIOUSLY b'423877'
ACTION SNIPPET 10000 787 SNIPPET_NOT_RELEVANT b'50965'
ACTION SNIPPET 10000 790 SEEN_PREVIOUSLY b'1285941'
ACTION SNIPPET 10000 793 SNIPPET_RELEVANT b'1292328'
ACTION DOC 10000 813 EXAMINING_DOCUMENT b'1292328'
ACTION MARK 10000 816 CONSIDERED_RELEVANT b'1292328'
ACTION SNIPPET 10000 819 SNIPPET_NOT_RELEVANT b'497300'
ACTION SNIPPET 10000 822 SEEN_PREVIOUSLY b'1515218'
ACTION QUERY 10000 832 How to survive a human stampede?
ACTION SERP 10000 837 EXAMINE_SERP
ACTION SNIPPET 10000 840 SEEN_PREVIOUSLY b'1475110'
ACTION SNIPPET 10000 843 SNIPPET_RELEVANT b'121675'
ACTION DOC 10000 863 EXAMINING_DOCUMENT b'121675'
ACTION SNIPPET 10000 866 SEEN_PREVIOUSLY b'1315825'
ACTION SNIPPET 10000 869 SEEN_PREVIOUSLY b'1450252'
ACTION SNIPPET 10000 872 SNIPPET_NOT_RELEVANT b'276863'
ACTION SNIPPET 10000 875 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 878 SEEN_PREVIOUSLY b'492316'
ACTION SNIPPET 10000 881 SNIPPET_RELEVANT b'1477242'
ACTION DOC 10000 901 EXAMINING_DOCUMENT b'1477242'
ACTION MARK 10000 904 CONSIDERED_RELEVANT b'1477242'
ACTION SNIPPET 10000 907 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 910 SEEN_PREVIOUSLY b'363729'
ACTION SNIPPET 10000 913 SNIPPET_NOT_RELEVANT b'556190'
ACTION SNIPPET 10000 916 SEEN_PREVIOUSLY b'100763'
ACTION SNIPPET 10000 919 SNIPPET_RELEVANT b'809697'
ACTION DOC 10000 939 EXAMINING_DOCUMENT b'809697'
ACTION SNIPPET 10000 942 SEEN_PREVIOUSLY b'1465986'
ACTION SNIPPET 10000 945 SEEN_PREVIOUSLY b'423877'
ACTION SNIPPET 10000 948 SEEN_PREVIOUSLY b'1285941'
ACTION SNIPPET 10000 951 SEEN_PREVIOUSLY b'1515218'
ACTION SNIPPET 10000 954 SEEN_PREVIOUSLY b'127053'
ACTION SNIPPET 10000 957 SEEN_PREVIOUSLY b'1789645'
ACTION SNIPPET 10000 960 SEEN_PREVIOUSLY b'127391'
ACTION QUERY 10000 970 Deadliest human stampedes
ACTION SERP 10000 975 EXAMINE_SERP
ACTION SNIPPET 10000 978 SNIPPET_RELEVANT b'1293154'
ACTION DOC 10000 998 EXAMINING_DOCUMENT b'1293154'
ACTION MARK 10000 1001 CONSIDERED_RELEVANT b'1293154'
ACTION SNIPPET 10000 1004 SNIPPET_NOT_RELEVANT b'837945'
ACTION SNIPPET 10000 1007 SNIPPET_RELEVANT b'1467690'
ACTION DOC 10000 1027 EXAMINING_DOCUMENT b'1467690'
ACTION MARK 10000 1030 CONSIDERED_RELEVANT b'1467690'
ACTION SNIPPET 10000 1033 SNIPPET_RELEVANT b'1731589'
ACTION DOC 10000 1053 EXAMINING_DOCUMENT b'1731589'
ACTION MARK 10000 1056 CONSIDERED_RELEVANT b'1731589'
ACTION SNIPPET 10000 1059 SEEN_PREVIOUSLY b'1465986'
ACTION SNIPPET 10000 1062 SNIPPET_RELEVANT b'71573'
ACTION DOC 10000 1082 EXAMINING_DOCUMENT b'71573'
ACTION SNIPPET 10000 1085 SEEN_PREVIOUSLY b'1315825'
ACTION SNIPPET 10000 1088 SNIPPET_NOT_RELEVANT b'306101'
ACTION SNIPPET 10000 1091 SEEN_PREVIOUSLY b'1450252'
ACTION SNIPPET 10000 1094 SNIPPET_NOT_RELEVANT b'1387611'
ACTION SNIPPET 10000 1097 SNIPPET_NOT_RELEVANT b'1350433'
ACTION SNIPPET 10000 1100 SEEN_PREVIOUSLY b'818047'
ACTION SNIPPET 10000 1103 SEEN_PREVIOUSLY b'492316'
ACTION SNIPPET 10000 1106 SNIPPET_RELEVANT b'1715981'
ACTION DOC 10000 1126 EXAMINING_DOCUMENT b'1715981'
ACTION SNIPPET 10000 1129 SNIPPET_RELEVANT b'1506864'
ACTION DOC 10000 1149 EXAMINING_DOCUMENT b'1506864'
ACTION SNIPPET 10000 1152 SEEN_PREVIOUSLY b'1698991'
ACTION SNIPPET 10000 1155 SEEN_PREVIOUSLY b'363729'
ACTION SNIPPET 10000 1158 SNIPPET_NOT_RELEVANT b'714411'
ACTION SNIPPET 10000 1161 SNIPPET_NOT_RELEVANT b'573476'
ACTION SNIPPET 10000 1164 SNIPPET_NOT_RELEVANT b'780531'
