ACTION QUERY 10000 10 railway accidents
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1127996'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1127996'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1127996'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'14873'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'14873'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'14873'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'1275509'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'1275509'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'1275509'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'1641342'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'1641342'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'1641342'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'46187'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'46187'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'46187'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'784019'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'784019'
ACTION MARK 10000 171 CONSIDERED_RELEVANT b'784019'
ACTION SNIPPET 10000 174 SNIPPET_NOT_RELEVANT b'1598678'
ACTION SNIPPET 10000 177 SNIPPET_RELEVANT b'1240001'
ACTION DOC 10000 197 EXAMINING_DOCUMENT b'1240001'
ACTION MARK 10000 200 CONSIDERED_RELEVANT b'1240001'
ACTION SNIPPET 10000 203 SNIPPET_RELEVANT b'1751955'
ACTION DOC 10000 223 EXAMINING_DOCUMENT b'1751955'
ACTION SNIPPET 10000 226 SNIPPET_RELEVANT b'1780662'
ACTION DOC 10000 246 EXAMINING_DOCUMENT b'1780662'
ACTION MARK 10000 249 CONSIDERED_RELEVANT b'1780662'
ACTION SNIPPET 10000 252 SNIPPET_RELEVANT b'317296'
ACTION DOC 10000 272 EXAMINING_DOCUMENT b'317296'
ACTION SNIPPET 10000 275 SNIPPET_RELEVANT b'1403372'
ACTION DOC 10000 295 EXAMINING_DOCUMENT b'1403372'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'1022091'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'1022091'
ACTION MARK 10000 321 CONSIDERED_RELEVANT b'1022091'
ACTION SNIPPET 10000 324 SNIPPET_RELEVANT b'958897'
ACTION DOC 10000 344 EXAMINING_DOCUMENT b'958897'
ACTION MARK 10000 347 CONSIDERED_RELEVANT b'958897'
ACTION SNIPPET 10000 350 SNIPPET_RELEVANT b'1565750'
ACTION DOC 10000 370 EXAMINING_DOCUMENT b'1565750'
ACTION MARK 10000 373 CONSIDERED_RELEVANT b'1565750'
ACTION SNIPPET 10000 376 SNIPPET_RELEVANT b'1648105'
ACTION DOC 10000 396 EXAMINING_DOCUMENT b'1648105'
ACTION SNIPPET 10000 399 SNIPPET_NOT_RELEVANT b'39908'
ACTION SNIPPET 10000 402 SNIPPET_NOT_RELEVANT b'1667781'
ACTION SNIPPET 10000 405 SNIPPET_RELEVANT b'784177'
ACTION DOC 10000 425 EXAMINING_DOCUMENT b'784177'
ACTION MARK 10000 428 CONSIDERED_RELEVANT b'784177'
ACTION SNIPPET 10000 431 SNIPPET_RELEVANT b'157393'
ACTION DOC 10000 451 EXAMINING_DOCUMENT b'157393'
ACTION MARK 10000 454 CONSIDERED_RELEVANT b'157393'
ACTION SNIPPET 10000 457 SNIPPET_RELEVANT b'214578'
ACTION DOC 10000 477 EXAMINING_DOCUMENT b'214578'
ACTION MARK 10000 480 CONSIDERED_RELEVANT b'214578'
ACTION SNIPPET 10000 483 SNIPPET_RELEVANT b'97796'
ACTION DOC 10000 503 EXAMINING_DOCUMENT b'97796'
ACTION MARK 10000 506 CONSIDERED_RELEVANT b'97796'
ACTION SNIPPET 10000 509 SNIPPET_RELEVANT b'445653'
ACTION DOC 10000 529 EXAMINING_DOCUMENT b'445653'
ACTION MARK 10000 532 CONSIDERED_RELEVANT b'445653'
ACTION SNIPPET 10000 535 SNIPPET_RELEVANT b'1047557'
ACTION DOC 10000 555 EXAMINING_DOCUMENT b'1047557'
ACTION MARK 10000 558 CONSIDERED_RELEVANT b'1047557'
ACTION SNIPPET 10000 561 SNIPPET_RELEVANT b'973603'
ACTION DOC 10000 581 EXAMINING_DOCUMENT b'973603'
ACTION MARK 10000 584 CONSIDERED_RELEVANT b'973603'
ACTION SNIPPET 10000 587 SNIPPET_RELEVANT b'1687116'
ACTION DOC 10000 607 EXAMINING_DOCUMENT b'1687116'
ACTION MARK 10000 610 CONSIDERED_RELEVANT b'1687116'
ACTION SNIPPET 10000 613 SNIPPET_RELEVANT b'98010'
ACTION DOC 10000 633 EXAMINING_DOCUMENT b'98010'
ACTION MARK 10000 636 CONSIDERED_RELEVANT b'98010'
ACTION SNIPPET 10000 639 SNIPPET_RELEVANT b'112888'
ACTION DOC 10000 659 EXAMINING_DOCUMENT b'112888'
ACTION MARK 10000 662 CONSIDERED_RELEVANT b'112888'
ACTION SNIPPET 10000 665 SNIPPET_RELEVANT b'2175'
ACTION DOC 10000 685 EXAMINING_DOCUMENT b'2175'
ACTION SNIPPET 10000 688 SEEN_PREVIOUSLY b'2175'
ACTION SNIPPET 10000 691 SNIPPET_NOT_RELEVANT b'471885'
ACTION SNIPPET 10000 694 SNIPPET_RELEVANT b'172223'
ACTION DOC 10000 714 EXAMINING_DOCUMENT b'172223'
ACTION MARK 10000 717 CONSIDERED_RELEVANT b'172223'
ACTION SNIPPET 10000 720 SNIPPET_NOT_RELEVANT b'640075'
ACTION SNIPPET 10000 723 SNIPPET_RELEVANT b'42499'
ACTION DOC 10000 743 EXAMINING_DOCUMENT b'42499'
ACTION MARK 10000 746 CONSIDERED_RELEVANT b'42499'
ACTION SNIPPET 10000 749 SNIPPET_NOT_RELEVANT b'956488'
ACTION SNIPPET 10000 752 SNIPPET_RELEVANT b'1403609'
ACTION DOC 10000 772 EXAMINING_DOCUMENT b'1403609'
