ACTION QUERY 10000 10 journalist risks
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'1547678'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'1547678'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'1547678'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'1369972'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'1369972'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'1369972'
ACTION SNIPPET 10000 70 SNIPPET_RELEVANT b'728912'
ACTION DOC 10000 90 EXAMINING_DOCUMENT b'728912'
ACTION MARK 10000 93 CONSIDERED_RELEVANT b'728912'
ACTION SNIPPET 10000 96 SNIPPET_RELEVANT b'679801'
ACTION DOC 10000 116 EXAMINING_DOCUMENT b'679801'
ACTION MARK 10000 119 CONSIDERED_RELEVANT b'679801'
ACTION SNIPPET 10000 122 SNIPPET_RELEVANT b'1544859'
ACTION DOC 10000 142 EXAMINING_DOCUMENT b'1544859'
ACTION MARK 10000 145 CONSIDERED_RELEVANT b'1544859'
ACTION SNIPPET 10000 148 SNIPPET_RELEVANT b'1401994'
ACTION DOC 10000 168 EXAMINING_DOCUMENT b'1401994'
ACTION SNIPPET 10000 171 SNIPPET_RELEVANT b'344024'
ACTION DOC 10000 191 EXAMINING_DOCUMENT b'344024'
ACTION MARK 10000 194 CONSIDERED_RELEVANT b'344024'
ACTION SNIPPET 10000 197 SNIPPET_RELEVANT b'1467740'
ACTION DOC 10000 217 EXAMINING_DOCUMENT b'1467740'
ACTION SNIPPET 10000 220 SNIPPET_RELEVANT b'1369835'
ACTION DOC 10000 240 EXAMINING_DOCUMENT b'1369835'
ACTION MARK 10000 243 CONSIDERED_RELEVANT b'1369835'
ACTION SNIPPET 10000 246 SNIPPET_RELEVANT b'1831146'
ACTION DOC 10000 266 EXAMINING_DOCUMENT b'1831146'
ACTION MARK 10000 269 CONSIDERED_RELEVANT b'1831146'
ACTION SNIPPET 10000 272 SNIPPET_RELEVANT b'1477141'
ACTION DOC 10000 292 EXAMINING_DOCUMENT b'1477141'
ACTION MARK 10000 295 CONSIDERED_RELEVANT b'1477141'
ACTION SNIPPET 10000 298 SNIPPET_RELEVANT b'798857'
ACTION DOC 10000 318 EXAMINING_DOCUMENT b'798857'
ACTION MARK 10000 321 CONSIDERED_RELEVANT b'798857'
ACTION SNIPPET 10000 324 SNIPPET_RELEVANT b'799037'
ACTION DOC 10000 344 EXAMINING_DOCUMENT b'799037'
ACTION MARK 10000 347 CONSIDERED_RELEVANT b'799037'
ACTION SNIPPET 10000 350 SNIPPET_RELEVANT b'561161'
ACTION DOC 10000 370 EXAMINING_DOCUMENT b'561161'
ACTION MARK 10000 373 CONSIDERED_RELEVANT b'561161'
ACTION SNIPPET 10000 376 SNIPPET_RELEVANT b'735868'
ACTION DOC 10000 396 EXAMINING_DOCUMENT b'735868'
ACTION MARK 10000 399 CONSIDERED_RELEVANT b'735868'
ACTION SNIPPET 10000 402 SNIPPET_RELEVANT b'1091374'
ACTION DOC 10000 422 EXAMINING_DOCUMENT b'1091374'
ACTION SNIPPET 10000 425 SNIPPET_RELEVANT b'1424321'
ACTION DOC 10000 445 EXAMINING_DOCUMENT b'1424321'
ACTION MARK 10000 448 CONSIDERED_RELEVANT b'1424321'
ACTION SNIPPET 10000 451 SNIPPET_NOT_RELEVANT b'1664890'
ACTION SNIPPET 10000 454 SNIPPET_NOT_RELEVANT b'169335'
ACTION SNIPPET 10000 457 SNIPPET_RELEVANT b'9862'
ACTION DOC 10000 477 EXAMINING_DOCUMENT b'9862'
ACTION MARK 10000 480 CONSIDERED_RELEVANT b'9862'
ACTION SNIPPET 10000 483 SNIPPET_NOT_RELEVANT b'507369'
ACTION SNIPPET 10000 486 SNIPPET_NOT_RELEVANT b'38006'
ACTION SNIPPET 10000 489 SNIPPET_RELEVANT b'821207'
ACTION DOC 10000 509 EXAMINING_DOCUMENT b'821207'
ACTION SNIPPET 10000 512 SNIPPET_RELEVANT b'1631550'
ACTION DOC 10000 532 EXAMINING_DOCUMENT b'1631550'
ACTION MARK 10000 535 CONSIDERED_RELEVANT b'1631550'
ACTION SNIPPET 10000 538 SNIPPET_RELEVANT b'1479579'
ACTION DOC 10000 558 EXAMINING_DOCUMENT b'1479579'
ACTION MARK 10000 561 CONSIDERED_RELEVANT b'1479579'
ACTION SNIPPET 10000 564 SNIPPET_RELEVANT b'1344903'
ACTION DOC 10000 584 EXAMINING_DOCUMENT b'1344903'
ACTION MARK 10000 587 CONSIDERED_RELEVANT b'1344903'
ACTION SNIPPET 10000 590 SNIPPET_RELEVANT b'1479423'
ACTION DOC 10000 610 EXAMINING_DOCUMENT b'1479423'
ACTION MARK 10000 613 CONSIDERED_RELEVANT b'1479423'
ACTION SNIPPET 10000 616 SNIPPET_NOT_RELEVANT b'1734192'
ACTION SNIPPET 10000 619 SNIPPET_RELEVANT b'428795'
ACTION DOC 10000 639 EXAMINING_DOCUMENT b'428795'
ACTION MARK 10000 642 CONSIDERED_RELEVANT b'428795'
ACTION SNIPPET 10000 645 SNIPPET_NOT_RELEVANT b'1475135'
ACTION SNIPPET 10000 648 SNIPPET_RELEVANT b'1031636'
ACTION DOC 10000 668 EXAMINING_DOCUMENT b'1031636'
ACTION SNIPPET 10000 671 SNIPPET_NOT_RELEVANT b'1543064'
ACTION SNIPPET 10000 674 SNIPPET_NOT_RELEVANT b'558865'
ACTION SNIPPET 10000 677 SNIPPET_NOT_RELEVANT b'927963'
ACTION SNIPPET 10000 680 SNIPPET_RELEVANT b'232822'
ACTION DOC 10000 700 EXAMINING_DOCUMENT b'232822'
ACTION QUERY 10000 710 Journalist safety
ACTION SERP 10000 715 EXAMINE_SERP
ACTION SNIPPET 10000 718 SNIPPET_RELEVANT b'993691'
ACTION DOC 10000 738 EXAMINING_DOCUMENT b'993691'
ACTION SNIPPET 10000 741 SNIPPET_NOT_RELEVANT b'117309'
ACTION SNIPPET 10000 744 SNIPPET_RELEVANT b'1738061'
ACTION DOC 10000 764 EXAMINING_DOCUMENT b'1738061'
ACTION MARK 10000 767 CONSIDERED_RELEVANT b'1738061'
ACTION SNIPPET 10000 770 SNIPPET_NOT_RELEVANT b'1498126'
ACTION SNIPPET 10000 773 SNIPPET_RELEVANT b'765922'
ACTION DOC 10000 793 EXAMINING_DOCUMENT b'765922'
ACTION MARK 10000 796 CONSIDERED_RELEVANT b'765922'
ACTION SNIPPET 10000 799 SEEN_PREVIOUSLY b'1831146'
ACTION SNIPPET 10000 802 SNIPPET_NOT_RELEVANT b'639237'
ACTION SNIPPET 10000 805 SNIPPET_NOT_RELEVANT b'1285501'
ACTION SNIPPET 10000 808 SEEN_PREVIOUSLY b'1479423'
ACTION SNIPPET 10000 811 SNIPPET_NOT_RELEVANT b'1380542'
ACTION SNIPPET 10000 814 SNIPPET_RELEVANT b'1831043'
ACTION DOC 10000 834 EXAMINING_DOCUMENT b'1831043'
ACTION SNIPPET 10000 837 SNIPPET_RELEVANT b'866574'
ACTION DOC 10000 857 EXAMINING_DOCUMENT b'866574'
ACTION MARK 10000 860 CONSIDERED_RELEVANT b'866574'
ACTION SNIPPET 10000 863 SNIPPET_NOT_RELEVANT b'143845'
ACTION SNIPPET 10000 866 SNIPPET_RELEVANT b'573949'
ACTION DOC 10000 886 EXAMINING_DOCUMENT b'573949'
ACTION SNIPPET 10000 889 SNIPPET_NOT_RELEVANT b'1032986'
ACTION SNIPPET 10000 892 SNIPPET_RELEVANT b'1276521'
ACTION DOC 10000 912 EXAMINING_DOCUMENT b'1276521'
ACTION QUERY 10000 922 Media safety
ACTION SERP 10000 927 EXAMINE_SERP
ACTION SNIPPET 10000 930 SNIPPET_NOT_RELEVANT b'109095'
ACTION SNIPPET 10000 933 SNIPPET_NOT_RELEVANT b'156074'
ACTION SNIPPET 10000 936 SNIPPET_NOT_RELEVANT b'381856'
ACTION SNIPPET 10000 939 SNIPPET_RELEVANT b'688038'
ACTION DOC 10000 959 EXAMINING_DOCUMENT b'688038'
ACTION SNIPPET 10000 962 SNIPPET_RELEVANT b'265178'
ACTION DOC 10000 982 EXAMINING_DOCUMENT b'265178'
ACTION QUERY 10000 992 Journalist harassment
ACTION SERP 10000 997 EXAMINE_SERP
ACTION SNIPPET 10000 1000 SNIPPET_RELEVANT b'359191'
ACTION DOC 10000 1020 EXAMINING_DOCUMENT b'359191'
ACTION MARK 10000 1023 CONSIDERED_RELEVANT b'359191'
ACTION SNIPPET 10000 1026 SNIPPET_NOT_RELEVANT b'1106647'
ACTION SNIPPET 10000 1029 SNIPPET_RELEVANT b'1439158'
ACTION DOC 10000 1049 EXAMINING_DOCUMENT b'1439158'
ACTION MARK 10000 1052 CONSIDERED_RELEVANT b'1439158'
ACTION SNIPPET 10000 1055 SNIPPET_NOT_RELEVANT b'211607'
ACTION SNIPPET 10000 1058 SNIPPET_RELEVANT b'1438557'
ACTION DOC 10000 1078 EXAMINING_DOCUMENT b'1438557'
ACTION SNIPPET 10000 1081 SNIPPET_RELEVANT b'1273775'
ACTION DOC 10000 1101 EXAMINING_DOCUMENT b'1273775'
ACTION SNIPPET 10000 1104 SNIPPET_NOT_RELEVANT b'529623'
ACTION QUERY 10000 1114 Journalist abuse
ACTION SERP 10000 1119 EXAMINE_SERP
ACTION SNIPPET 10000 1122 SNIPPET_RELEVANT b'1028944'
ACTION DOC 10000 1142 EXAMINING_DOCUMENT b'1028944'
ACTION SNIPPET 10000 1145 SNIPPET_NOT_RELEVANT b'679740'
ACTION SNIPPET 10000 1148 SNIPPET_RELEVANT b'1279275'
ACTION DOC 10000 1168 EXAMINING_DOCUMENT b'1279275'
ACTION MARK 10000 1171 CONSIDERED_RELEVANT b'1279275'
ACTION SNIPPET 10000 1174 SNIPPET_NOT_RELEVANT b'2524'
ACTION SNIPPET 10000 1177 SNIPPET_NOT_RELEVANT b'2524'
ACTION SNIPPET 10000 1180 SNIPPET_RELEVANT b'346960'
ACTION DOC 10000 1200 EXAMINING_DOCUMENT b'346960'
ACTION MARK 10000 1203 CONSIDERED_RELEVANT b'346960'
ACTION SNIPPET 10000 1206 SNIPPET_RELEVANT b'1150692'
ACTION DOC 10000 1226 EXAMINING_DOCUMENT b'1150692'
ACTION MARK 10000 1229 CONSIDERED_RELEVANT b'1150692'
