ACTION QUERY 10000 10 Airport Security
ACTION SERP 10000 15 EXAMINE_SERP
ACTION SNIPPET 10000 18 SNIPPET_RELEVANT b'a4450c72-3e0d-11e6-a66f-aa6c1883b6b1'
ACTION DOC 10000 38 EXAMINING_DOCUMENT b'a4450c72-3e0d-11e6-a66f-aa6c1883b6b1'
ACTION MARK 10000 41 CONSIDERED_RELEVANT b'a4450c72-3e0d-11e6-a66f-aa6c1883b6b1'
ACTION SNIPPET 10000 44 SNIPPET_RELEVANT b'a3394dc4-807a-11e2-b99e-6baf4ebe42df'
ACTION DOC 10000 64 EXAMINING_DOCUMENT b'a3394dc4-807a-11e2-b99e-6baf4ebe42df'
ACTION MARK 10000 67 CONSIDERED_RELEVANT b'a3394dc4-807a-11e2-b99e-6baf4ebe42df'
ACTION SNIPPET 10000 70 SNIPPET_NOT_RELEVANT b'8c188cc8f2e57da79daaaf82dc321148'
ACTION SNIPPET 10000 73 SNIPPET_NOT_RELEVANT b'960a655e37a62111439e35f268d4952a'
ACTION SNIPPET 10000 76 SNIPPET_RELEVANT b'f73cad84-e76c-11e4-9a6a-c1ab95a0600b'
ACTION DOC 10000 96 EXAMINING_DOCUMENT b'f73cad84-e76c-11e4-9a6a-c1ab95a0600b'
ACTION MARK 10000 99 CONSIDERED_RELEVANT b'f73cad84-e76c-11e4-9a6a-c1ab95a0600b'
ACTION SNIPPET 10000 102 SNIPPET_RELEVANT b'4d0dc5d1d779de995afbfc34ba0d984e'
ACTION DOC 10000 122 EXAMINING_DOCUMENT b'4d0dc5d1d779de995afbfc34ba0d984e'
ACTION MARK 10000 125 CONSIDERED_RELEVANT b'4d0dc5d1d779de995afbfc34ba0d984e'
ACTION SNIPPET 10000 128 SNIPPET_RELEVANT b'befaf098-fdb9-11e5-80e4-c381214de1a3'
ACTION DOC 10000 148 EXAMINING_DOCUMENT b'befaf098-fdb9-11e5-80e4-c381214de1a3'
ACTION MARK 10000 151 CONSIDERED_RELEVANT b'befaf098-fdb9-11e5-80e4-c381214de1a3'
ACTION SNIPPET 10000 154 SNIPPET_RELEVANT b'2a15d291261ae0673ef92e9c4a4c0298'
ACTION DOC 10000 174 EXAMINING_DOCUMENT b'2a15d291261ae0673ef92e9c4a4c0298'
ACTION MARK 10000 177 CONSIDERED_RELEVANT b'2a15d291261ae0673ef92e9c4a4c0298'
ACTION SNIPPET 10000 180 SNIPPET_NOT_RELEVANT b'482ed90c-46dd-11e2-8061-253bccfc7532'
ACTION SNIPPET 10000 183 SNIPPET_RELEVANT b'0814a51a-6260-11e7-84a1-a26b75ad39fe'
ACTION DOC 10000 203 EXAMINING_DOCUMENT b'0814a51a-6260-11e7-84a1-a26b75ad39fe'
ACTION MARK 10000 206 CONSIDERED_RELEVANT b'0814a51a-6260-11e7-84a1-a26b75ad39fe'
ACTION SNIPPET 10000 209 SNIPPET_RELEVANT b'9f1e6f89c31d5ee87024f6734ddb67eb'
ACTION DOC 10000 229 EXAMINING_DOCUMENT b'9f1e6f89c31d5ee87024f6734ddb67eb'
ACTION MARK 10000 232 CONSIDERED_RELEVANT b'9f1e6f89c31d5ee87024f6734ddb67eb'
ACTION SNIPPET 10000 235 SNIPPET_RELEVANT b'0bf6de6987f7f5d6ef2169c265e6f808'
ACTION DOC 10000 255 EXAMINING_DOCUMENT b'0bf6de6987f7f5d6ef2169c265e6f808'
ACTION MARK 10000 258 CONSIDERED_RELEVANT b'0bf6de6987f7f5d6ef2169c265e6f808'
ACTION SNIPPET 10000 261 SNIPPET_NOT_RELEVANT b'425159eee5160a03f47580bb9a959bb3'
ACTION SNIPPET 10000 264 SNIPPET_RELEVANT b'07a71cda-2a58-11e5-bd33-395c05608059'
ACTION DOC 10000 284 EXAMINING_DOCUMENT b'07a71cda-2a58-11e5-bd33-395c05608059'
ACTION MARK 10000 287 CONSIDERED_RELEVANT b'07a71cda-2a58-11e5-bd33-395c05608059'
ACTION SNIPPET 10000 290 SNIPPET_NOT_RELEVANT b'876c1466-88cb-11e6-875e-2c1bfe943b66'
ACTION SNIPPET 10000 293 SNIPPET_NOT_RELEVANT b'3c448b57a3e7a896eceb7ac65711b923'
ACTION SNIPPET 10000 296 SNIPPET_NOT_RELEVANT b'c8ecfc3036f6284b549f03d66c475e92'
ACTION SNIPPET 10000 299 SNIPPET_RELEVANT b'1c2a1c388c3b6aa0171217d615dfe163'
ACTION DOC 10000 319 EXAMINING_DOCUMENT b'1c2a1c388c3b6aa0171217d615dfe163'
ACTION MARK 10000 322 CONSIDERED_RELEVANT b'1c2a1c388c3b6aa0171217d615dfe163'
ACTION SNIPPET 10000 325 SNIPPET_RELEVANT b'5a27c15f7aabc2159b0291d370c74ffb'
ACTION DOC 10000 345 EXAMINING_DOCUMENT b'5a27c15f7aabc2159b0291d370c74ffb'
ACTION MARK 10000 348 CONSIDERED_RELEVANT b'5a27c15f7aabc2159b0291d370c74ffb'
ACTION SNIPPET 10000 351 SNIPPET_NOT_RELEVANT b'ed60fe5366481fdf69bef10b71c2ba09'
ACTION SNIPPET 10000 354 SNIPPET_NOT_RELEVANT b'ca1630d4031c24604ef5ada04489929b'
ACTION SNIPPET 10000 357 SNIPPET_NOT_RELEVANT b'8933203610df65783ac2422eebdce394'
ACTION SNIPPET 10000 360 SNIPPET_NOT_RELEVANT b'2c32b5081d3e7ccd01395f4c80b80d8e'
ACTION SNIPPET 10000 363 SNIPPET_NOT_RELEVANT b'9c92d36e-e73c-11e6-bae0-9af981cb61ef'
ACTION SNIPPET 10000 366 SNIPPET_NOT_RELEVANT b'247cc20e-fbae-11e2-8752-b41d7ed1f685'
ACTION SNIPPET 10000 369 SNIPPET_NOT_RELEVANT b'b42df0e2a1e1759b538f3e3a8b5819c5'
ACTION SNIPPET 10000 372 SNIPPET_RELEVANT b'd88cbcdeaf523c789744a977d9973a56'
ACTION DOC 10000 392 EXAMINING_DOCUMENT b'd88cbcdeaf523c789744a977d9973a56'
ACTION MARK 10000 395 CONSIDERED_RELEVANT b'd88cbcdeaf523c789744a977d9973a56'
ACTION SNIPPET 10000 398 SNIPPET_RELEVANT b'615ccdbe-1860-11e6-924d-838753295f9a'
ACTION DOC 10000 418 EXAMINING_DOCUMENT b'615ccdbe-1860-11e6-924d-838753295f9a'
ACTION MARK 10000 421 CONSIDERED_RELEVANT b'615ccdbe-1860-11e6-924d-838753295f9a'
ACTION SNIPPET 10000 424 SNIPPET_RELEVANT b'1ad9d0f2-054e-11e4-a0dd-f2b22a257353'
ACTION DOC 10000 444 EXAMINING_DOCUMENT b'1ad9d0f2-054e-11e4-a0dd-f2b22a257353'
ACTION MARK 10000 447 CONSIDERED_RELEVANT b'1ad9d0f2-054e-11e4-a0dd-f2b22a257353'
ACTION SNIPPET 10000 450 SNIPPET_NOT_RELEVANT b'4159f34e8e10ba92d0ae59755308979c'
ACTION SNIPPET 10000 453 SNIPPET_NOT_RELEVANT b'578f8cb0-ff2d-11e4-805c-c3f407e5a9e9'
ACTION SNIPPET 10000 456 SNIPPET_RELEVANT b'570ede22-0eb3-11e5-adec-e82f8395c032'
ACTION DOC 10000 476 EXAMINING_DOCUMENT b'570ede22-0eb3-11e5-adec-e82f8395c032'
ACTION MARK 10000 479 CONSIDERED_RELEVANT b'570ede22-0eb3-11e5-adec-e82f8395c032'
ACTION SNIPPET 10000 482 SNIPPET_NOT_RELEVANT b'd50271a2-66da-11e5-9ef3-fde182507eac'
ACTION SNIPPET 10000 485 SNIPPET_NOT_RELEVANT b'a0db15b27ae97f60e5b4ffa76ceb3603'
ACTION SNIPPET 10000 488 SNIPPET_NOT_RELEVANT b'8c56841a-09aa-11e7-93dc-00f9bdd74ed1'
ACTION SNIPPET 10000 491 SNIPPET_NOT_RELEVANT b'8444d1915d8f5cbd2e0572480580ef24'
ACTION SNIPPET 10000 494 SNIPPET_NOT_RELEVANT b'd380414b6351e579384549573d6e4aea'
ACTION SNIPPET 10000 497 SNIPPET_RELEVANT b'a6595e21a02ef53298343a9865cc09c9'
ACTION DOC 10000 517 EXAMINING_DOCUMENT b'a6595e21a02ef53298343a9865cc09c9'
ACTION MARK 10000 520 CONSIDERED_RELEVANT b'a6595e21a02ef53298343a9865cc09c9'
ACTION SNIPPET 10000 523 SNIPPET_RELEVANT b'80bacd9f20034e2bd7d4f69f55f9d196'
ACTION DOC 10000 543 EXAMINING_DOCUMENT b'80bacd9f20034e2bd7d4f69f55f9d196'
ACTION MARK 10000 546 CONSIDERED_RELEVANT b'80bacd9f20034e2bd7d4f69f55f9d196'
ACTION SNIPPET 10000 549 SNIPPET_NOT_RELEVANT b'd9f66c24-9629-11e2-894a-b984cbdff2e6'
ACTION SNIPPET 10000 552 SNIPPET_RELEVANT b'4d694e6e-1215-11e6-8967-7ac733c56f12'
ACTION DOC 10000 572 EXAMINING_DOCUMENT b'4d694e6e-1215-11e6-8967-7ac733c56f12'
ACTION MARK 10000 575 CONSIDERED_RELEVANT b'4d694e6e-1215-11e6-8967-7ac733c56f12'
ACTION SNIPPET 10000 578 SNIPPET_NOT_RELEVANT b'cef9ebc7fa7c0fe98b98513432876273'
ACTION SNIPPET 10000 581 SNIPPET_RELEVANT b'aed3d7417629c12680a0f82ec2399b0e'
ACTION DOC 10000 601 EXAMINING_DOCUMENT b'aed3d7417629c12680a0f82ec2399b0e'
ACTION MARK 10000 604 CONSIDERED_RELEVANT b'aed3d7417629c12680a0f82ec2399b0e'
ACTION SNIPPET 10000 607 SNIPPET_NOT_RELEVANT b'e83f96f14c9fc2ca09c64a65a9c8cd1b'
ACTION SNIPPET 10000 610 SNIPPET_RELEVANT b'c73fa254-72ca-11e1-ab86-1f92b6642693'
ACTION DOC 10000 630 EXAMINING_DOCUMENT b'c73fa254-72ca-11e1-ab86-1f92b6642693'
ACTION MARK 10000 633 CONSIDERED_RELEVANT b'c73fa254-72ca-11e1-ab86-1f92b6642693'
ACTION SNIPPET 10000 636 SNIPPET_RELEVANT b'a45bbc98-2ca5-11e6-9de3-6e6e7a14000c'
ACTION DOC 10000 656 EXAMINING_DOCUMENT b'a45bbc98-2ca5-11e6-9de3-6e6e7a14000c'
ACTION MARK 10000 659 CONSIDERED_RELEVANT b'a45bbc98-2ca5-11e6-9de3-6e6e7a14000c'
ACTION SNIPPET 10000 662 SNIPPET_NOT_RELEVANT b'a817091ff6e514c97fe2edb706547c2a'
ACTION SNIPPET 10000 665 SNIPPET_NOT_RELEVANT b'4120d4ea1b766740ef0fbb9dc20b9e10'
ACTION SNIPPET 10000 668 SNIPPET_NOT_RELEVANT b'c79b3da6-6f1a-11e2-8b8d-e0b59a1b8e2a'
ACTION SNIPPET 10000 671 SNIPPET_RELEVANT b'6b35df98f14225c6390de552bc2bb33d'
ACTION DOC 10000 691 EXAMINING_DOCUMENT b'6b35df98f14225c6390de552bc2bb33d'
ACTION MARK 10000 694 CONSIDERED_RELEVANT b'6b35df98f14225c6390de552bc2bb33d'
INFO SERP_END_REACHED 
ACTION QUERY 10000 704 How effective is airport security?
ACTION SERP 10000 709 EXAMINE_SERP
ACTION SNIPPET 10000 712 SNIPPET_NOT_RELEVANT b'960a655e37a62111439e35f268d4952a'
ACTION SNIPPET 10000 715 SNIPPET_NOT_RELEVANT b'6be2f768-6ed6-11e2-ac36-3d8d9dcaa2e2'
ACTION SNIPPET 10000 718 SEEN_PREVIOUSLY b'1c2a1c388c3b6aa0171217d615dfe163'
ACTION SNIPPET 10000 721 SNIPPET_NOT_RELEVANT b'df02e9825714bcaae23f1fc41a21573a'
ACTION SNIPPET 10000 724 SNIPPET_NOT_RELEVANT b'c79b3da6-6f1a-11e2-8b8d-e0b59a1b8e2a'
ACTION SNIPPET 10000 727 SEEN_PREVIOUSLY b'd88cbcdeaf523c789744a977d9973a56'
ACTION SNIPPET 10000 730 SNIPPET_NOT_RELEVANT b'c8ecfc3036f6284b549f03d66c475e92'
ACTION SNIPPET 10000 733 SNIPPET_RELEVANT b'f153c5cdbb39d84787c316b284018187'
